Rang,Artist,Titel,Eintritt,Wochen,Peak,Punkte,Link,Songtext
32,Ed Sheeran,Thinking Out Loud,02.11.2014,72,3,4835,/song/Ed-Sheeran/Thinking-Out-Loud-1293051,"When your legs don't work like they used to before
And I can't sweep you off of your feet
Will your mouth still remember the taste of my love?
Will your eyes still smile from your cheeks?

And, darling, I will be loving you till we're 70
And, baby, my heart could still fall as hard at 23
And I'm thinking 'bout how people fall in love in mysterious ways
Maybe just the touch of a hand
Well, me, I fall in love with you every single day
And I just wanna tell you I am

So, honey, now
Take me into your loving arms
Kiss me under the light of a thousand stars
Place your head on my beating heart
I'm thinking out loud
Maybe we found love right where we are

When my hair's all but gone, and my memory fades
And the crowds don't remember my name
When my hands don't play the strings the same way
I know you will still love me the same

'Cause, honey, your soul could never grow old, it's evergreen
And, baby, your smile's forever in my mind and memory
I'm thinking 'bout how people fall in love in mysterious ways
And maybe it's all part of a plan
Well, I'll just keep on making the same mistakes
Hoping that you'll understand

That, baby, now
Take me into your loving arms
Kiss me under the light of a thousand stars
Place your head on my beating heart
I'm thinking out loud
And maybe we found love right where we are

La la la, la la la, la la la, la la la loud

So, baby, now
Take me into your loving arms
Kiss me under the light of a thousand stars
Oh, darling, place your head on my beating heart
I'm thinking out loud
Then maybe we found love right where we are
Oh, baby, we found love right where we are
And we found love right where we are"
33,Ed Sheeran,I See Fire,29.12.2013,67,2,4754,/song/Ed-Sheeran/I-See-Fire-1212462,"Oh, misty eye of the mountain below
Keep careful watch of my brothers' souls
And should the sky be filled with fire and smoke
Keep watching over Durin's sons

If this is to end in fire
Then we should all burn together
Watch the flames climb high into the night

Calling out father oh
Stand by and we will
Watch the flames burn auburn on
The mountain side

And if we should die tonight
Then we should all die together
Raise a glass of wine for the last time

Calling out father oh
Prepare as we will
Watch the flames burn auburn on
The mountain side
Desolation comes upon the sky

Now I see fire
Inside the mountain
I see fire
Burning the trees
And I see fire
Hollowing souls
I see fire
Blood in the breeze
And I hope that you remember me

Oh, should my people fall
Then surely I'll do the same
Confined in mountain halls
We got too close to the flame

Calling out father oh
Hold fast and we will
Watch the flames burn auburn on
The mountain side
Desolation comes upon the sky

Now I see fire
Inside the mountain
I see fire
Burning the trees
I see fire
Hollowing souls
I see fire
Blood in the breeze
And I hope that you remember me

And if the night is burning
I will cover my eyes
For if the dark returns
Then my brothers will die
And as the sky is falling down
It crashed into this lonely town
And with that shadow upon the ground
I hear my people screaming out

Now I see fire
Inside the mountains
I see fire
Burning the trees
I see fire
Hollowing souls
I see fire
Blood in the breeze
I see fire (oh you know I saw a city burning out) (fire)
And I see fire (feel the heat upon my skin, yeah) (fire)
And I see fire (fire)
And I see fire burn auburn on the mountain side"
34,Stromae,Alors on danse,21.02.2010,69,1,4709,/song/Stromae/Alors-on-danse-604548,
35,Juanes,La camisa negra,07.08.2005,70,1,4702,/song/Juanes/La-camisa-negra-59916,"Uno por pobre y feo
pero antojao

Tengo la camisa negra
hoy mi amor está de luto
hoy tengo en el alma una pena
y es por culpa de tu embrujo

Hoy sé que tu ya no me quieres
y eso es lo que mas me hiere
que tengo la camisa negra
y una pena que me duele

Mal parece que solo me quede
y fue pura todita tu mentira
qué maldita mala suerte la mía
que aquel día te encontré

Por beber del veneno
malevo(lo) de tu amor
yo quede moribundo
y lleno de dolor
respiré de ese humo
amargo de tu adiós
y desde que tu te fuiste
yo solo...

Tengo, tengo la camisa negra
Porque negra tengo el alma
Yo por ti perdí la calma
Y casi pierdo hasta mi cama
cama c'mon c'mon baby
te digo con disimulo
que tengo la camisa negra
y debajo tengo el difunto

(Pa enterrartelo cuando quieras mamita
Asi como lo oye hija)

Tengo la camisa negra
ya tu amor no me interesa
lo que ayer me supo a gloria
hoy me sabe a pura
miércoles por la tarde
y tu que no llegas
nisiquiera muestras señas
y yo con la camisa negra
y tus maletas en la puerta

Mal parece que solo me quede
y fue pura todita tu mentira
qué maldita mala suerte la mía
que aquel día te encontré

Por beber del veneno
malevo(lo) de tu amor
yo quede moribundo
y lleno de dolor
respiré de ese humo
amargo de tu adiós
y desde que tu te fuiste
yo solo...

Tengo, tengo la camisa negra
Porque negra tengo el alma
Yo por ti perdí la calma
Y casi pierdo hasta mi cama
cama c'mon c'mon baby
te digo con disimulo
que tengo la camisa negra
y debajo tengo el difunto

Tengo la camisa negra
Porque negra tengo el alma
Yo por ti perdí la calma
Y casi pierdo hasta mi cama
cama c'mon c'mon baby
te digo con disimulo
que tengo la camisa
y debajo tengo el difunto"
36,Sia,Chandelier,25.05.2014,63,2,4683,/song/Sia/Chandelier-1264547,"Party girls don't get hurt, can't feel anything
When will I learn? I push it down, push it down
I'm the one ""for a good time call"", phone's blowin' up
They're ringin' my doorbell, I feel the love, feel the love

One, two, three; one, two, three; drink
One, two, three; one, two, three; drink
One, two, three; one, two, three; drink
Throw 'em back till I lose count

I'm gonna swing from the chandelier, from the chandelier
I'm gonna live like tomorrow doesn't exist, like it doesn't exist
I'm gonna fly like a bird through the night, feel my tears as they dry
I'm gonna swing from the chandelier, from the chandelier

I am holding on for dear life
Won't look down, won't open my eyes
Keep my glass full until morning light
'Cause I'm just holding on for tonight

Help me, I'm holding on for dear life
Won't look down, won't open my eyes
Keep my glass full until morning light
'Cause I'm just holding on for tonight, on for tonight

Sun is up, I'm a mess
Gotta get out now, gotta run from this
Here comes the shame, here comes the shame

One, two, three; one, two, three; drink
One, two, three; one, two, three; drink
One, two, three; one, two, three; drink
Throw 'em back till I lose count

I'm gonna swing from the chandelier, from the chandelier
I'm gonna live like tomorrow doesn't exist, like it doesn't exist
I'm gonna fly like a bird through the night, feel my tears as they dry
I'm gonna swing from the chandelier, from the chandelier

I am holding on for dear life
Won't look down, won't open my eyes
Keep my glass full until morning light
'Cause I'm just holding on for tonight

Help me, I'm holding on for dear life
Won't look down, won't open my eyes
Keep my glass full until morning light
'Cause I'm just holding on for tonight, on for tonight, on for tonight
'Cause I'm just holding on for tonight
Oh, I'm just holding on for tonight, on for tonight, on for tonight
'Cause I'm just holding on for tonight
'Cause I'm just holding on for tonight
Oh, I'm just holding on for tonight, on for tonight, on for tonight"
37,Unheilig,Geboren um zu leben,28.02.2010,84,13,4678,/song/Unheilig/Geboren-um-zu-leben-665166,"Es fällt mir schwer
ohne Dich zu leben
Jeden Tag zu jeder Zeit
einfach alles zu geben
Ich denk' so oft
zurück an das was war
an jenem so geliebten vergangenen Tag
Ich stell' mir vor
dass du zu mir stehst,
und jeden meiner Wege
an meiner Seite gehst
Ich denke an so vieles
seitdem du nicht mehr bist
denn du hast mir gezeigt
wie wertvoll das Leben ist

Wir waren geboren um zu leben
mit den Wundern jener Zeit
Sich niemals zu vergessen
bis in alle Ewigkeit
Wir waren geboren um zu leben
für den einen Augenblick
Bei dem jeder von uns spürte
wie wertvoll Leben ist

Es tut noch weh
wieder neuem Platz zu schaffen
Mit gutem Gefühl
etwas Neues zuzulassen
In diesem Augenblick
bist du mir wieder nah
wie an jedem so geliebten vergangenen Tag
Es ist mein Wunsch
wieder Träume zu erlauben
ohne Reue nach vorn
in eine Zukunft zu schauen
Ich sehe einen Sinn
seitdem du nicht mehr bist
Denn du hast hat mir gezeigt
wie wertvoll mein Leben ist

Wir waren geboren um zu leben
mit den Wundern jener Zeit
Sich niemals zu vergessen
bis in alle Ewigkeit
Wir waren geboren um zu leben
für den einen Augenblick
Bei dem jeder von uns spürte
wie wertvoll Leben ist

Wir waren geboren um zu leben…"
38,Scorpions,Wind Of Change,17.02.1991,52,1,4672,/song/Scorpions/Wind-Of-Change-2226,"I follow the Moskva
And down to Gorky Park
Listening to the wind of change

An August summer night
Soldiers passing by
Listening to the wind of change

The world is closing in
And did you ever think
That we could be so close, like brothers

The future's in the air
I can feel it everywhere
Blowing with the wind of change

Take me to the magic of the moment
On a glory night
Where the children of tomorrow dream away
In the wind of change

Walking down the street
And distant memories
Are buried in the past forever

I follow the Moskva
And down to Gorky Park
Listening to the wind of change

Take me to the magic of the moment
On a glory night
Where the children of tomorrow share their dreams
With you and me

Take me to the magic of the moment
On a glory night
Where the children of tomorrow dream away
In the wind of change

The wind of change blows straight
Into the face of time
Like a storm wind that will ring
The freedom bell for peace of mind
Let your balalaika sing
What my guitar wants to say

Take me to the magic of the moment
On a glory night
Where the children of tomorrow share their dreams
With you and me

Take me to the magic of the moment
On a glory night
Where the children of tomorrow dream away
In the wind of change"
39,Ed Sheeran,Photograph,07.06.2015,80,4,4671,/song/Ed-Sheeran/Photograph-1303542,"Loving can hurt
Loving can hurt sometimes
But it's the only thing
That I know.

And when it gets hard
You know it can get hard sometimes
It is the only thing that makes us feel alive.

We keep this love in a photograph
We make these memories for ourselves
Where our eyes are never closing
Hearts are never broken
And time's forever frozen still.

So you can keep me
Inside the pocket
Of your ripped jeans
Holdin' me closer
Till our eyes meet
You won't ever be alone
Wait for me to come home.

Loving can heal
Loving can mend your soul
And is the only thing
That I know (know)
I swear it will get easier
Remember that with every piece of ya
And it's the only thing we take with us when we die.

We keep this love in a photograph
We make these memories for ourselves
Where our eyes are never closing
Our hearts were never broken
And time's forever frozen still.

So you can keep me
Inside the pocket
Of your ripped jeans
Holdin' me closer
Till our eyes meet
You won't ever be alone.

And if you hurt me
Well that's okay baby only words bleed
Inside these pages you just hold me
And I won't ever let you go.

Wait for me to come home
Wait for me to come home
Wait for me to come home
Wait for me to come home.

Oh you can fit me
Inside the necklace you got when you were 16
Next to your heartbeat
Where I should be
Keep it deep within your soul.

And if you hurt me
Well that's okay baby only words bleed
Inside these pages you just hold me
And I won't ever let you go.

When I'm away
I will remember how you kissed me
Under the lamppost
Back on 6th street
Hearing you whisper through the phone
Wait for me to come home."
40,Wham!,Last Christmas,13.01.1985,78,4,4669,/song/Wham!/Last-Christmas-1203,"Last Christmas I gave you my heart
But the very next day you gave it away
This year, to save me from tears
I'll give it to someone special

Last Christmas I gave you my heart
But the very next day you gave it away
This year, to save me from tears
I'll give it to someone special

Once bitten and twice shy
I keep my distance, but you still catch my eye
Tell me baby, do you recognize me?

Well, it's been a year, it doesn't surprise me
""Merry Christmas"" I wrapped it up and sent it
With a note saying ""I love you"", I meant it
Now I know what a fool I've been

But if you kissed me now, I know you'd fool me again
Last Christmas I gave you my heart
But the very next day you gave it away
This year, to save me from tears

I'll give it to someone special
Last Christmas I gave you my heart
But the very next day you gave it away
This year, to save me from tears

I'll give it to someone special
Oooohhhh

Oh oh baby
A crowded room, friends with tired eyes
I'm hiding from you and your soul of ice
My god, I thought you were someone to rely on

Me? I guess I was a shoulder to cry on
A face on a lover with a fire in his heart
A man under cover but you tore me apart
Oh oh now I've found a real love

You'll never fool me again
Last Christmas I gave you my heart
But the very next day you gave it away
This year, to save me from tears

I'll give it to someone special, special
Last Christmas I gave you my heart
But the very next day you gave it away
This year, to save me from tears
I'll give it to someone special
Special
A face on a lover with a fire in his heart (I gave you mine)
A man under cover but you tore him apart
Maybe next year I'll give it to someone
I'll give it to someone special
Special
So long..."
41,Nicky Jam & Enrique Iglesias,El perdón,05.04.2015,64,1,4646,/song/Nicky-Jam-&-Enrique-Iglesias/El-perdon-1390595,"Dime si es verdad
Me dijeron que te estás casando
Tú no sabes lo que estoy sufriendo
Esto te lo tengo que decir

Cuéntame
Tu despedida para mí fue dura
Será que él te llevó a la luna
Y yo no supe hacerlo así

Te estaba buscando
Por la calle gritando
Esto me está matando

Te estaba buscando
Por la calle gritando
Como un loco tomando

Es que yo sin ti y tú sin mí
Dime quién puede ser feliz
Esto no me gusta, esto no me gusta

Es que yo sin ti y tú sin mí
Dime quién puede ser feliz
Esto no me gusta, esto no me gusta

Y yo sin ti no aguanto más
Por eso vengo a decirte lo que siento
Estoy sufriendo la soledad

Y aunque tu padre no aprobó esta relación
Yo sigo insistiendo a pedir perdón
Lo único que importa está en tu corazón

Te estaba buscando
Por la calle gritando
Esto me está matando

Te estaba buscando
Por la calle gritando
Como un loco tomando

Es que yo sin ti y tú sin mí
Dime quién puede ser feliz
Esto no me gusta, esto no me gusta

Es que yo sin ti y tú sin mí
Dime quién puede ser feliz
Esto no me gusta, esto no me gusta

Yo te juré a ti este eterno amor
Y ahora otro te da calor
Cuando en las noches tienes frío

Yo sé que él te parece mejor
Pero yo estoy en tu corazón
Y por eso pido perdón

Es que yo sin ti y tú sin mí
Dime quién puede ser feliz
Esto no me gusta, esto no me gusta

Es que yo sin ti y tú sin mí
Dime quién puede ser feliz
Esto no me gusta, esto no me gusta

Dicen que uno no sabe lo que tiene
Hasta que lo pierde pero
Vale la pena luchar por lo que uno quiere
Y hacer el intento"
42,Duffy,Mercy,02.03.2008,65,1,4641,/song/Duffy/Mercy-412430,"Yeah, yeah, yeah...
Yeah, yeah, yeah...
Yeah, yeah, yeah...
Yeah, yeah, yeah...

I love you
But I gotta stay true
My morals got me on my knees
I'm begging, please, stop playing games

I don't know what this is
'Cause you got me good
Just like you knew you would
I don't know what you do
But you do it well
I'm under your spell

You got me begging you for mercy
Why won't you release me?
You got me begging you for mercy
Why won't you release me?
I said release me

Now you think that I
Will be something on the side
But you got to understand
That I need a man
Who can take my hand, yes I do

I don't know what this is
'Cause you got me good
Just like you knew you would
I don't know what you do
But you do it well
I'm under your spell

You got me begging you for mercy
Why won't you release me?
You got me begging you for mercy
Why won't you release me?
I said you'd better release
Yeah, yeah, yeah

I'm begging you for mercy
Yes, why won't you release me?
I'm begging you for mercy

You got me begging
You got me begging
You got me begging

Mercy
Why won't you release me?
I'm begging you for mercy
Why won't you release me?

You got me begging you for mercy
I'm begging you for mercy
I'm begging you for mercy
I'm begging you for mercy
I'm begging you for mercy
Why won't you release me, yeah! yeah!
Break it down...
Mercy, you got me begging
Begging you for mercy
You got me begging
Down on my knees
You got me begging
Begging you for mercy
You got me begging
Eeeeh, eeeeh
Eeeh, oooh..."
43,David Guetta feat. Sia,Titanium,21.08.2011,76,9,4616,/song/David-Guetta-feat.-Sia/Titanium-880643,Leider kein Songtext vorhanden.
44,Jay-Z + Alicia Keys,Empire State Of Mind,27.09.2009,69,4,4585,/song/Jay-Z-and-Alicia-Keys/Empire-State-Of-Mind-618347,"Yeah
Yeah I'm out that Brooklyn.
Now I'm down in Tribeca.
Right next to De Niro
But I'll be hood forever
I'm the new sinatra
And since i made it here
I can make it anywhere
(yeah they love me everywhere)
I used to cop in Harlem
Hola my dominicanos (hey yo)
Right there up on Broadway
Brought me back to that McDonalds
Took it to my stash spot
560 State Street
Catch me in the kitchen
Like Simmons whipping Pastry
Cruising down 8th Street
Off-white Lexus
Driving so slow
(but bk, it's from Texas!!)
Me I'm out that Bedstuy
Home of that boy Biggie
Now I live on billboard
And I brought my boys with me
Say what up to ta-ta
Still sipping mai tais
Sitting courtside
Knicks and Nets give me high-5
Nga, I be spiked out
I could trip a referee
...tell by my attitude that I'm most definitely from...
New York!!!!
Concrete jungle where dreams are made of,
There's nothing you can't do,
Now you're in New York!!!
These streets will make you feel brand new,
The lights will inspire you,
Let's hear it for New York, New York, New York
I made you hot n-gga,
Catch me at the x with og at a yankee game,
Sh-t i made the yankee hat more famous than a yankee can,
You should know I bleed blue, but i ain't a crip tho,
But i got a gang of n-ggas walking with my clique though,
Welcome to the melting pot,
Corners where we selling rocks,
Afrika Bambaataa sh-t,
Home of the hip hop,
Yellow cab, gypsy cab, dollar cab, holla back,
For foreigners it ain't fitted act like they forgot how to act,
8 million stories out there and they're naked,
City it's a pity half of y'all won't make it,
Me i gotta plug a special and i got it made,
If Jeezy's payin LeBron, i'm paying Dwayne Wade,
3 dice cee-lo
3 card Marley,
Labor Day Parade, rest in peace Bob Marley,
Statue of Liberty, long live the World Trade,
Long live the king yo,
I'm from the Empire State that's…
In New York!!!!
Concrete jungle where dreams are made of,
There's nothing you can't do,
Now you're in New York!!!
These streets will make you feel brand new,
The lights will inspire you,
Let's hear it for New York, New York, New York
Welcome to the bright light.
Lights is blinding,
Girls need blinders
So they can step out of bounds quick,
The side lines is blind with casualties,
Who sip the lite casually, then gradually become worse,
Don't bite the apple Eve,
Caught up in the in crowd,
Now you're in-style,
And in the winter gets cold en vogue with your skin out,
The city of sin is a pity on a whim.
Good girls gone bad, the city's filled with them,
Mommy took a bus trip and now she got her bust out,
Everybody ride her, just like a bus route,
Hail Mary to the city your a Virgin,
And Jesus can't save you life starts when the church ends,
Came here for school, graduated to the high life,
Ball players, rap stars, addicted to the limelight,
MDMA got you feeling like a champion,
The city never sleeps better slip you a Ambien
New York!!!!
Concrete jungle where dreams are made of,
There's nothing you can't do,
Now you're in New York!!!
These streets will make you feel brand new,
The lights will inspire you,
Let's hear it for New York, New York, New York
One hand in the air for the big city,
Street lights, big dreams all looking pretty,
No place in the world that can compare,
Put your lighters in the air, everybody say yeaaahh
Come on, come, yeah,
New York!!!!
Concrete jungle where dreams are made of,
There's nothing you can't do,
Now you're in New York!!!
These streets will make you feel brand new,
The lights will inspire you,
Let's hear it for New York, New York, New York"
45,Alizée,Moi... Lolita,06.08.2000,73,11,4574,/song/Alizee/Moi...-Lolita-4377,"Moi je m'appelle Lolita
Lo ou bien Lola
Du pareil au même
Moi je m'appelle Lolita
Quand je rêve aux loups
C'est Lola qui saigne
Quand fourche ma langue,
j'ai là un fou rire aussi fou
Qu'un phénomène
Je m'appelle Lolita
Lo de vie, lo aux amours diluviennes

C'est pas ma faute
Et quand je donne ma langue aux chats
Je vois les autres
Tout prêts à se jeter sur moi
C'est pas ma faute à moi
Si j'entends tout autour de moi
Hello, helli, t'es A (L.O.L.I.T.A.)

Moi je m'appelle Lolita
Collégienne aux bas
Bleus de méthylène
Moi je m'appelle Lolita
Coléreuse et pas
Mi-coton, mi-laine
Motus et bouche qui n'dis pas
À maman que je suis un phénomène
Je m'appelle Lolita
Lo de vie, lo aux amours diluviennes

C'est pas ma faute
Et quand je donne ma langue aux chats
Je vois les autres
Tout prêts à se jeter sur moi
C'est pas ma faute à moi
Si j'entends tout autour de moi
L-O-L-I-T-A
Moi Lolita

C'est pas ma faute
Et quand je donne ma langue aux chats
Je vois les autres
Tout prêts à se jeter sur moi
C'est pas ma faute à moi
Si j'entends tout autour de moi
L-O-L-I-T-A
Moi Lolita

Lo... li... ta
Lo... li... ta
Lo... li... ta
Lo... li... ta
Lo... li... ta
Lo... li... ta
Lo... li... ta
Lo... li... ta

C'est pas ma faute
Et quand je donne ma langue aux chats
Je vois les autres
Tout prêts à se jeter sur moi
C'est pas ma faute à moi
Si j'entends tout autour de moi
L-O-L-I-T-A
Moi Lolita

C'est pas ma faute
Et quand je donne ma langue aux chats
Je vois les autres
Tout prêts à se jeter sur moi
C'est pas ma faute à moi
Si j'entends tout autour de moi
L-O-L-I-T-A
Moi Lolita

C'est pas ma faute
Et quand je donne ma langue aux chats
Je vois les autres
Tout prêts à se jeter sur moi
C'est pas ma faute à moi
Si j'entends tout autour de moi
Moi Lolita

C'est pas ma faute
Et quand je donne ma langue aux chats
Je vois les autres
Tout prêts à se jeter sur moi
C'est pas ma faute à moi
Si j'entends tout autour de moi
L-O-L-I-T-A"
46,Sia,Cheap Thrills,27.12.2015,62,2,4569,/song/Sia/Cheap-Thrills-1505888,"Come on, come on, turn the radio on
It's Friday night, and it won't be long
Gotta do my hair, put my make-up on
It's Friday night, and it won't be long

Till I hit the dance floor, hit the dance floor
I got all I need
No, I ain't got cash, I ain't got cash
But I got you, baby

Baby, I don't need dollar bills to have fun tonight
I love cheap thrills!
Baby, I don't need dollar bills to have fun tonight
I love cheap thrills!

But I don't need no money
As long as I can feel the beat
I don't need no money
As long as I keep dancing

Come on, come on, turn the radio on
It's Saturday, and it won't be long
Gotta paint my nails, put my high heels on
It's Saturday, and it won't be long

Till I hit the dance floor, hit the dance floor
I got all I need
No, I ain't got cash, I ain't got cash
But I got you, baby

Baby, I don't need dollar bills to have fun tonight
I love cheap thrills!
Baby, I don't need dollar bills to have fun tonight
I love cheap thrills!

But I don't need no money
As long as I can feel the beat
I don't need no money
As long as I keep dancing

(I love cheap thrills!)
I love cheap thrills!

I don't need no money
As long as I can feel the beat
I don't need no money
As long as I keep dancing
(Oh, oh, oooh)

Baby, I don't need dollar bills to have fun tonight
I love cheap thrills!
Baby, I don't need dollar bills to have fun tonight
I love cheap thrills!

But I don't need no money
As long as I can feel the beat
I don't need no money
As long as I keep dancing

La la la la la la la
(I love cheap thrills!)
La la la la la la la
(I love cheap thrills!)
La la la la la la la
(I love cheap thrills!)
La la la la la la
I love cheap thrills!"
47,Bligg,Rosalie,26.10.2008,67,5,4539,/song/Bligg/Rosalie-515997,"Rosalie oh Rosalie was wär diä Wält ohni sie?
Sie sitzt im Kaffi Rex und dänkt a ihri gmeinsami Ziit
mit ihrem Ex doch er isch weg es sind scho zwei Jahr verbi
Sie isch nie richtig drüber wäg cho resigniert vor sich hi
Ä Träne flügt in Espresso über ihre Gsicht lamped d'Haar
En attraktive Typ setzt sich an Tisch spricht sie aa
Hallo! Sie luegt apathisch empor und isch wie troffe vom Blitz
Für d'Rosalie isch's d'Liebi uf dä erschti Blick

Rosalie – Die Rose sind für dich Mi Amor
Du gsehsch so truurig us als wär öpper gschtorbe
Wie cha das si? Ä hübschi Frau mit Auge wie du
So ganz allei amne Sunntig Morge

Rosalie oh Rosalie sie fühlt sich im Paradies
Er isch ihre vertraut und alles schtaht still rund um sie
Sit ärä halbe Ewigkeit hätt niemert meh mit ihrä gflirted
Er git ihrä Kompliment bis sie sich schämt und völlig erröted
Er frögt sie nach em Name und sie seit: Rosalie
Er seit: lugg Mi Amor ich han ä Rose für dich
Hihihi. das isch zwar nett aber ich cha's unmöglich aneh
Mir känned eus grad mal paar Minute ich hoff du verschtahsch es

Rosalie, die Rose sind für dich Mi Amor
Du gsehsch so truurig us, als wär öpper gschtorbe
Wie cha das si? Ä hübschi Frau mit Auge wie du
So ganz allei amne Sunntig Morge

Sie nimmt diä Rose a und seit: Wiä chan ich dir numme danke?
Er hebt ä offni Hand entgäge es machi numme Franke
Das isch mies! Das isch fies! Ich ha gmeint sie seg für mich
Er staht uf Uf widerseh und lauft zum Tisch vis-a-vis
Hallo hübschi Frau wie isch ihre Name...?

Melanie - Die Rose sind für dich Mi Amor
Du gsehsch so truurig us als wär öpper gschtorbe
Wie cha das si? Ä hübschi Frau mit Auge wie du
So ganz allei amne Sunntig Morge
Rosalie, die Rose sind für dich Mi Amor
Du gsehsch so truurig us als wär öpper gschtorbe
Wie cha das si? Ä hübschi Frau mit Auge wie du
So ganz allei amne Sunntig Morge
Rosalie"
48,Coldplay,Viva la vida,20.07.2008,76,5,4534,/song/Coldplay/Viva-la-vida-464829,"I used to rule the world
Seas would rise when I gave the word
Now in the morning I sleep alone
Sweep the streets I used to own

I used to roll the dice
Feel the fear in my enemy's eyes
Listen as the crowd would sing
""Now the old king is dead, long live the king""

One minute I held the key
Next the walls were closed on me
And I discovered that my castles stand
Upon pillars of salt and pillars of sand

I hear Jerusalem bells a-ringing
Roman cavalry choirs are singing
Be my mirror, my sword and shield
My missionaries in a foreign field
For some reason I can't explain
Once you'd gone there was never
Never an honest word
And that was when I ruled the world

It was a wicked and wild wind
Blew down the doors to let me in
Shattered windows and the sound of drums
People couldn't believe what I'd become

Revolutionaries wait
For my head on a silver plate
Just a puppet on a lonely string
Oh, who would ever want to be king?

I hear Jerusalem bells a-ringing
Roman cavalry choirs are singing
Be my mirror, my sword and shield
My missionaries in a foreign field
For some reason I can't explain
I know St. Peter won't call my name
Never an honest word
But that was when I ruled the world

Ohh...

Hear Jerusalem bells a-ringing
Roman cavalry choirs are singing
Be my mirror, my sword and shield
My missionaries in a foreign field
For some reason I can't explain
I know St. Peter won't call my name
Never an honest word
But that was when I ruled the world"
49,Aventura,Obsesión,14.12.2003,65,1,4528,/song/Aventura/Obsesion-5910,"Yo yo this is the remix...
ring ring... hello... shhhh...
listen up... i gotta few words to tell you...
it is 5 in the morning, i'm feelin kinda lonely
on top of that i'm horny, and i need u here with me.
did i mention i can't sleep? you're always in my dreams
y si no estas conmigo i won't be feelin right
today i met ur man just smiled and walked away
to know how soon his girl just might become my wife
and he's no competition, let me give u a reason
you know that you don't love him cuz he is not the one
you know he's kinda wack and that is so, so sad
to see how such a beauty is wasting all her time
Oooh

No, i know it ain't love. lo que tu sientes se llama obsesion.
una ilusion, that plays with your mind and makes you take action
when you're obsessed that's how it goes.
Flossing jiggy in my lexus, pase por tu colegio
me informan que te fuiste, going crazy i ran lookin for you
te busque y no te encontraba y eso me preocupaba
para calmar mi ancia yo te queria llamar
but i didn't have ur digits, and ur girl just kept on dissin
and i know she must've liked me, me miraba con pasion
baby, baby, i need your love stop ur frontin and give it up something is
going wrong
gonna be your romeo.
No, yo se que no es amor, what u're feelin for me(what is it... what is it?)
se llama obsesion (rip my heart)
una ilusion en tu pensamiento que te hace hacer cosas asi funciona el corazon.
Judy no por favor, go tell your man that he gotta go
cuz i'm the one that's gonna stay in control
and i wanna be ur man, i wanna feel ur butt, wanna feel ur breasts
i wanna be the first and last to take you to your bed.
Yo romeo lemme holla at this girl real quick.
holla
it is five in the morning pick up the phone im hollerin at this girl
cuz i think her ass is out this world
i keep stressin but i gotta remember it's only an obsession and
lemme just keep finnessing original gots my own style top reppin the crowd
boy from up town hey yo this is the homie thanx to the incredible
resumey plus i make it edible like something inside of u
5 in the mornin, i can't get no sleep, can't get no sleep and its all a dream
mr jada
my combination of clothes timmidies i bust my gat but dont fall for dat
show u...
how to cruise
with a dude as smoothe as inside my truck my four rides... ride wit me
we could make love anywhere just get high with me judy truly im worth
few jenniens on the night can see me and doesnt exsist so poofffff
lets get down now
later we could reminisce this... this is the remix"
50,K-Maro,Femme Like U (Donne-moi ton corps),04.07.2004,59,1,4521,/song/K-Maro/Femme-Like-U-(Donne-moi-ton-corps)-6187,
51,Rag'n'Bone Man,Human,14.08.2016,71,1,4513,/song/Rag'n'Bone-Man/Human-1572490,
52,"Bob Sinclar presents Goleo VI feat. Gary ""Nesta"" Pine",Love Generation,11.12.2005,78,2,4500,/song/Bob-Sinclar-presents-Goleo-VI-feat.-Gary-Nesta-Pine/Love-Generation-142202,
