Einheit,Zivilstand,Anzahl,Typ
Reiden,Ledig,3024,Gemeinde
Reiden,Verheiratet,3240,Gemeinde
Reiden,Verwitwet,302,Gemeinde
Reiden,Geschieden,410,Gemeinde
Roggliswil,Ledig,314,Gemeinde
Roggliswil,Verheiratet,275,Gemeinde
Roggliswil,Verwitwet,38,Gemeinde
Roggliswil,Geschieden,34,Gemeinde
Schötz,Ledig,1921,Gemeinde
Schötz,Verheiratet,1829,Gemeinde
Schötz,Verwitwet,191,Gemeinde
Schötz,Geschieden,244,Gemeinde
Ufhusen,Ledig,420,Gemeinde
Ufhusen,Verheiratet,399,Gemeinde
Ufhusen,Verwitwet,42,Gemeinde
Ufhusen,Geschieden,31,Gemeinde
Wauwil,Ledig,830,Gemeinde
Wauwil,Verheiratet,949,Gemeinde
Wauwil,Verwitwet,84,Gemeinde
Wauwil,Geschieden,115,Gemeinde
Wikon,Ledig,638,Gemeinde
Wikon,Verheiratet,664,Gemeinde
Wikon,Verwitwet,76,Gemeinde
Wikon,Geschieden,99,Gemeinde
Zell (LU),Ledig,929,Gemeinde
Zell (LU),Verheiratet,884,Gemeinde
Zell (LU),Verwitwet,104,Gemeinde
Zell (LU),Geschieden,80,Gemeinde
Willisau,Ledig,3473,Gemeinde
Willisau,Verheiratet,3417,Gemeinde
Willisau,Verwitwet,417,Gemeinde
Willisau,Geschieden,369,Gemeinde
Wahlkreis Entlebuch,Ledig,10905,Bezirk
Wahlkreis Entlebuch,Verheiratet,10161,Bezirk
Wahlkreis Entlebuch,Verwitwet,1286,Bezirk
Wahlkreis Entlebuch,Geschieden,895,Bezirk
Doppleschwand,Ledig,356,Gemeinde
Doppleschwand,Verheiratet,342,Gemeinde
Doppleschwand,Verwitwet,30,Gemeinde
Doppleschwand,Geschieden,22,Gemeinde
Entlebuch,Ledig,1605,Gemeinde
Entlebuch,Verheiratet,1440,Gemeinde
Entlebuch,Verwitwet,203,Gemeinde
Entlebuch,Geschieden,101,Gemeinde
Flühli,Ledig,938,Gemeinde
Flühli,Verheiratet,766,Gemeinde
Flühli,Verwitwet,94,Gemeinde
Flühli,Geschieden,84,Gemeinde
Hasle (LU),Ledig,834,Gemeinde
Hasle (LU),Verheiratet,748,Gemeinde
Hasle (LU),Verwitwet,97,Gemeinde
Hasle (LU),Geschieden,69,Gemeinde
Romoos,Ledig,320,Gemeinde
Romoos,Verheiratet,299,Gemeinde
Romoos,Verwitwet,38,Gemeinde
Romoos,Geschieden,19,Gemeinde
Schüpfheim,Ledig,1974,Gemeinde
Schüpfheim,Verheiratet,1792,Gemeinde
Schüpfheim,Verwitwet,242,Gemeinde
Schüpfheim,Geschieden,146,Gemeinde
Werthenstein,Ledig,939,Gemeinde
Werthenstein,Verheiratet,905,Gemeinde
Werthenstein,Verwitwet,100,Gemeinde
Werthenstein,Geschieden,100,Gemeinde
Escholzmatt-Marbach,Ledig,1978,Gemeinde
Escholzmatt-Marbach,Verheiratet,1926,Gemeinde
Escholzmatt-Marbach,Verwitwet,264,Gemeinde
Escholzmatt-Marbach,Geschieden,157,Gemeinde
Wolhusen,Ledig,1961,Gemeinde
Wolhusen,Verheiratet,1943,Gemeinde
Wolhusen,Verwitwet,218,Gemeinde
Wolhusen,Geschieden,197,Gemeinde
Uri,Ledig,15323,Kanton
Uri,Verheiratet,16871,Kanton
Uri,Verwitwet,2027,Kanton
Uri,Geschieden,1751,Kanton
Kanton Uri,Ledig,15323,Bezirk
Kanton Uri,Verheiratet,16871,Bezirk
Kanton Uri,Verwitwet,2027,Bezirk
Kanton Uri,Geschieden,1751,Bezirk
Altdorf (UR),Ledig,4107,Gemeinde
Altdorf (UR),Verheiratet,4025,Gemeinde
Altdorf (UR),Verwitwet,536,Gemeinde
Altdorf (UR),Geschieden,535,Gemeinde
Andermatt,Ledig,593,Gemeinde
Andermatt,Verheiratet,619,Gemeinde
Andermatt,Verwitwet,92,Gemeinde
Andermatt,Geschieden,83,Gemeinde
Attinghausen,Ledig,703,Gemeinde
Attinghausen,Verheiratet,779,Gemeinde
Attinghausen,Verwitwet,67,Gemeinde
Attinghausen,Geschieden,74,Gemeinde
Bauen,Ledig,72,Gemeinde
Bauen,Verheiratet,67,Gemeinde
Bauen,Verwitwet,10,Gemeinde
Bauen,Geschieden,9,Gemeinde
Bürglen (UR),Ledig,1763,Gemeinde
Bürglen (UR),Verheiratet,1890,Gemeinde
Bürglen (UR),Verwitwet,208,Gemeinde
Bürglen (UR),Geschieden,133,Gemeinde
Erstfeld,Ledig,1474,Gemeinde
Erstfeld,Verheiratet,1835,Gemeinde
Erstfeld,Verwitwet,258,Gemeinde
Erstfeld,Geschieden,206,Gemeinde
Flüelen,Ledig,844,Gemeinde
Flüelen,Verheiratet,901,Gemeinde
Flüelen,Verwitwet,113,Gemeinde
Flüelen,Geschieden,114,Gemeinde
Göschenen,Ledig,160,Gemeinde
Göschenen,Verheiratet,217,Gemeinde
Göschenen,Verwitwet,31,Gemeinde
Göschenen,Geschieden,30,Gemeinde
Gurtnellen,Ledig,248,Gemeinde
Gurtnellen,Verheiratet,262,Gemeinde
Gurtnellen,Verwitwet,44,Gemeinde
Gurtnellen,Geschieden,23,Gemeinde
Hospental,Ledig,84,Gemeinde
Hospental,Verheiratet,86,Gemeinde
Hospental,Verwitwet,19,Gemeinde
Hospental,Geschieden,13,Gemeinde
Isenthal,Ledig,239,Gemeinde
Isenthal,Verheiratet,246,Gemeinde
Isenthal,Verwitwet,21,Gemeinde
Isenthal,Geschieden,6,Gemeinde
Realp,Ledig,47,Gemeinde
Realp,Verheiratet,66,Gemeinde
Realp,Verwitwet,18,Gemeinde
Realp,Geschieden,10,Gemeinde
Schattdorf,Ledig,2010,Gemeinde
Schattdorf,Verheiratet,2576,Gemeinde
Schattdorf,Verwitwet,251,Gemeinde
Schattdorf,Geschieden,204,Gemeinde
Seedorf (UR),Ledig,781,Gemeinde
Seedorf (UR),Verheiratet,885,Gemeinde
Seedorf (UR),Verwitwet,65,Gemeinde
Seedorf (UR),Geschieden,76,Gemeinde
Seelisberg,Ledig,285,Gemeinde
Seelisberg,Verheiratet,302,Gemeinde
Seelisberg,Verwitwet,47,Gemeinde
Seelisberg,Geschieden,54,Gemeinde
Silenen,Ledig,852,Gemeinde
Silenen,Verheiratet,1045,Gemeinde
Silenen,Verwitwet,115,Gemeinde
Silenen,Geschieden,96,Gemeinde
Sisikon,Ledig,172,Gemeinde
Sisikon,Verheiratet,155,Gemeinde
Sisikon,Verwitwet,24,Gemeinde
Sisikon,Geschieden,27,Gemeinde
Spiringen,Ledig,388,Gemeinde
Spiringen,Verheiratet,395,Gemeinde
Spiringen,Verwitwet,40,Gemeinde
Spiringen,Geschieden,23,Gemeinde
Unterschächen,Ledig,332,Gemeinde
Unterschächen,Verheiratet,326,Gemeinde
Unterschächen,Verwitwet,31,Gemeinde
Unterschächen,Geschieden,7,Gemeinde
Wassen,Ledig,169,Gemeinde
Wassen,Verheiratet,194,Gemeinde
Wassen,Verwitwet,37,Gemeinde
Wassen,Geschieden,28,Gemeinde
Schwyz,Ledig,66828,Kanton
Schwyz,Verheiratet,68701,Kanton
Schwyz,Verwitwet,6920,Kanton
Schwyz,Geschieden,11639,Kanton
Bezirk Einsiedeln,Ledig,6679,Bezirk
Bezirk Einsiedeln,Verheiratet,6550,Bezirk
Bezirk Einsiedeln,Verwitwet,730,Bezirk
Bezirk Einsiedeln,Geschieden,1117,Bezirk
Einsiedeln,Ledig,6679,Gemeinde
Einsiedeln,Verheiratet,6550,Gemeinde
Einsiedeln,Verwitwet,730,Gemeinde
Einsiedeln,Geschieden,1117,Gemeinde
Bezirk Gersau,Ledig,860,Bezirk
Bezirk Gersau,Verheiratet,1040,Bezirk
Bezirk Gersau,Verwitwet,138,Bezirk
Bezirk Gersau,Geschieden,202,Bezirk
Gersau,Ledig,860,Gemeinde
Gersau,Verheiratet,1040,Gemeinde
Gersau,Verwitwet,138,Gemeinde
Gersau,Geschieden,202,Gemeinde
Bezirk Höfe,Ledig,11436,Bezirk
Bezirk Höfe,Verheiratet,13044,Bezirk
Bezirk Höfe,Verwitwet,1163,Bezirk
Bezirk Höfe,Geschieden,2585,Bezirk
Feusisberg,Ledig,2136,Gemeinde
Feusisberg,Verheiratet,2338,Gemeinde
Feusisberg,Verwitwet,206,Gemeinde
Feusisberg,Geschieden,464,Gemeinde
Freienbach,Ledig,6509,Gemeinde
Freienbach,Verheiratet,7370,Gemeinde
Freienbach,Verwitwet,660,Gemeinde
Freienbach,Geschieden,1498,Gemeinde
Wollerau,Ledig,2791,Gemeinde
Wollerau,Verheiratet,3336,Gemeinde
Wollerau,Verwitwet,297,Gemeinde
Wollerau,Geschieden,623,Gemeinde
Bezirk Küssnacht (SZ),Ledig,5252,Bezirk
Bezirk Küssnacht (SZ),Verheiratet,5620,Bezirk
Bezirk Küssnacht (SZ),Verwitwet,570,Bezirk
Bezirk Küssnacht (SZ),Geschieden,981,Bezirk
Küssnacht (SZ),Ledig,5252,Gemeinde
Küssnacht (SZ),Verheiratet,5620,Gemeinde
Küssnacht (SZ),Verwitwet,570,Gemeinde
Küssnacht (SZ),Geschieden,981,Gemeinde
Bezirk March,Ledig,18393,Bezirk
Bezirk March,Verheiratet,18625,Bezirk
Bezirk March,Verwitwet,1769,Bezirk
Bezirk March,Geschieden,3317,Bezirk
Altendorf,Ledig,2945,Gemeinde
Altendorf,Verheiratet,3017,Gemeinde
Altendorf,Verwitwet,250,Gemeinde
Altendorf,Geschieden,532,Gemeinde
Galgenen,Ledig,2286,Gemeinde
Galgenen,Verheiratet,2278,Gemeinde
Galgenen,Verwitwet,202,Gemeinde
Galgenen,Geschieden,375,Gemeinde
Innerthal,Ledig,85,Gemeinde
Innerthal,Verheiratet,93,Gemeinde
Innerthal,Verwitwet,6,Gemeinde
Innerthal,Geschieden,9,Gemeinde
Lachen,Ledig,3593,Gemeinde
Lachen,Verheiratet,3694,Gemeinde
Lachen,Verwitwet,413,Gemeinde
Lachen,Geschieden,780,Gemeinde
Reichenburg,Ledig,1515,Gemeinde
Reichenburg,Verheiratet,1518,Gemeinde
Reichenburg,Verwitwet,145,Gemeinde
Reichenburg,Geschieden,240,Gemeinde
Schübelbach,Ledig,3982,Gemeinde
Schübelbach,Verheiratet,3965,Gemeinde
Schübelbach,Verwitwet,364,Gemeinde
Schübelbach,Geschieden,705,Gemeinde
Tuggen,Ledig,1453,Gemeinde
Tuggen,Verheiratet,1411,Gemeinde
Tuggen,Verwitwet,119,Gemeinde
Tuggen,Geschieden,231,Gemeinde
Vorderthal,Ledig,445,Gemeinde
Vorderthal,Verheiratet,449,Gemeinde
Vorderthal,Verwitwet,54,Gemeinde
Vorderthal,Geschieden,66,Gemeinde
Wangen (SZ),Ledig,2089,Gemeinde
Wangen (SZ),Verheiratet,2200,Gemeinde
Wangen (SZ),Verwitwet,216,Gemeinde
Wangen (SZ),Geschieden,379,Gemeinde
Bezirk Schwyz,Ledig,24208,Bezirk
Bezirk Schwyz,Verheiratet,23822,Bezirk
Bezirk Schwyz,Verwitwet,2550,Bezirk
Bezirk Schwyz,Geschieden,3437,Bezirk
Alpthal,Ledig,276,Gemeinde
Alpthal,Verheiratet,250,Gemeinde
Alpthal,Verwitwet,27,Gemeinde
Alpthal,Geschieden,44,Gemeinde
Arth,Ledig,5075,Gemeinde
Arth,Verheiratet,5274,Gemeinde
Arth,Verwitwet,546,Gemeinde
Arth,Geschieden,701,Gemeinde
Illgau,Ledig,377,Gemeinde
Illgau,Verheiratet,367,Gemeinde
Illgau,Verwitwet,35,Gemeinde
Illgau,Geschieden,13,Gemeinde
Ingenbohl,Ledig,3827,Gemeinde
Ingenbohl,Verheiratet,3774,Gemeinde
Ingenbohl,Verwitwet,439,Gemeinde
Ingenbohl,Geschieden,655,Gemeinde
Lauerz,Ledig,498,Gemeinde
Lauerz,Verheiratet,499,Gemeinde
Lauerz,Verwitwet,33,Gemeinde
Lauerz,Geschieden,66,Gemeinde
Morschach,Ledig,527,Gemeinde
Morschach,Verheiratet,479,Gemeinde
Morschach,Verwitwet,35,Gemeinde
Morschach,Geschieden,83,Gemeinde
Muotathal,Ledig,1601,Gemeinde
Muotathal,Verheiratet,1587,Gemeinde
Muotathal,Verwitwet,183,Gemeinde
Muotathal,Geschieden,128,Gemeinde
Oberiberg,Ledig,297,Gemeinde
Oberiberg,Verheiratet,428,Gemeinde
Oberiberg,Verwitwet,51,Gemeinde
Oberiberg,Geschieden,102,Gemeinde
Riemenstalden,Ledig,45,Gemeinde
Riemenstalden,Verheiratet,37,Gemeinde
Riemenstalden,Verwitwet,5,Gemeinde
Riemenstalden,Geschieden,2,Gemeinde
Rothenthurm,Ledig,1086,Gemeinde
Rothenthurm,Verheiratet,1028,Gemeinde
Rothenthurm,Verwitwet,79,Gemeinde
Rothenthurm,Geschieden,109,Gemeinde
Sattel,Ledig,911,Gemeinde
Sattel,Verheiratet,833,Gemeinde
Sattel,Verwitwet,66,Gemeinde
Sattel,Geschieden,121,Gemeinde
Schwyz,Ledig,6749,Gemeinde
Schwyz,Verheiratet,6374,Gemeinde
Schwyz,Verwitwet,758,Gemeinde
Schwyz,Geschieden,975,Gemeinde
Steinen,Ledig,1490,Gemeinde
Steinen,Verheiratet,1458,Gemeinde
Steinen,Verwitwet,135,Gemeinde
Steinen,Geschieden,229,Gemeinde
Steinerberg,Ledig,431,Gemeinde
Steinerberg,Verheiratet,428,Gemeinde
Steinerberg,Verwitwet,22,Gemeinde
Steinerberg,Geschieden,39,Gemeinde
Unteriberg,Ledig,1018,Gemeinde
Unteriberg,Verheiratet,1006,Gemeinde
Unteriberg,Verwitwet,136,Gemeinde
Unteriberg,Geschieden,170,Gemeinde
Obwalden,Ledig,16432,Kanton
Obwalden,Verheiratet,16562,Kanton
Obwalden,Verwitwet,1771,Kanton
Obwalden,Geschieden,2311,Kanton
Kanton Obwalden,Ledig,16432,Bezirk
Kanton Obwalden,Verheiratet,16562,Bezirk
Kanton Obwalden,Verwitwet,1771,Bezirk
Kanton Obwalden,Geschieden,2311,Bezirk
Alpnach,Ledig,2630,Gemeinde
Alpnach,Verheiratet,2637,Gemeinde
Alpnach,Verwitwet,250,Gemeinde
Alpnach,Geschieden,391,Gemeinde
Engelberg,Ledig,1762,Gemeinde
Engelberg,Verheiratet,1808,Gemeinde
Engelberg,Verwitwet,230,Gemeinde
Engelberg,Geschieden,297,Gemeinde
Giswil,Ledig,1584,Gemeinde
Giswil,Verheiratet,1581,Gemeinde
Giswil,Verwitwet,188,Gemeinde
Giswil,Geschieden,233,Gemeinde
Kerns,Ledig,2886,Gemeinde
Kerns,Verheiratet,2609,Gemeinde
Kerns,Verwitwet,249,Gemeinde
Kerns,Geschieden,304,Gemeinde
Lungern,Ledig,907,Gemeinde
Lungern,Verheiratet,1013,Gemeinde
Lungern,Verwitwet,119,Gemeinde
Lungern,Geschieden,103,Gemeinde
Sachseln,Ledig,2245,Gemeinde
Sachseln,Verheiratet,2295,Gemeinde
Sachseln,Verwitwet,216,Gemeinde
Sachseln,Geschieden,310,Gemeinde
Sarnen,Ledig,4418,Gemeinde
Sarnen,Verheiratet,4619,Gemeinde
Sarnen,Verwitwet,519,Gemeinde
Sarnen,Geschieden,673,Gemeinde
Nidwalden,Ledig,18392,Kanton
Nidwalden,Verheiratet,18905,Kanton
Nidwalden,Verwitwet,1946,Kanton
Nidwalden,Geschieden,3176,Kanton
Kanton Nidwalden,Ledig,18392,Bezirk
Kanton Nidwalden,Verheiratet,18905,Bezirk
Kanton Nidwalden,Verwitwet,1946,Bezirk
Kanton Nidwalden,Geschieden,3176,Bezirk
Beckenried,Ledig,1525,Gemeinde
Beckenried,Verheiratet,1582,Gemeinde
Beckenried,Verwitwet,173,Gemeinde
Beckenried,Geschieden,264,Gemeinde
Buochs,Ledig,2405,Gemeinde
Buochs,Verheiratet,2465,Gemeinde
Buochs,Verwitwet,217,Gemeinde
Buochs,Geschieden,346,Gemeinde
Dallenwil,Ledig,832,Gemeinde
Dallenwil,Verheiratet,774,Gemeinde
Dallenwil,Verwitwet,91,Gemeinde
Dallenwil,Geschieden,100,Gemeinde
Emmetten,Ledig,544,Gemeinde
Emmetten,Verheiratet,639,Gemeinde
Emmetten,Verwitwet,59,Gemeinde
Emmetten,Geschieden,138,Gemeinde
Ennetbürgen,Ledig,1838,Gemeinde
Ennetbürgen,Verheiratet,2171,Gemeinde
Ennetbürgen,Verwitwet,221,Gemeinde
Ennetbürgen,Geschieden,370,Gemeinde
Ennetmoos,Ledig,941,Gemeinde
Ennetmoos,Verheiratet,970,Gemeinde
Ennetmoos,Verwitwet,66,Gemeinde
Ennetmoos,Geschieden,123,Gemeinde
Hergiswil (NW),Ledig,2287,Gemeinde
Hergiswil (NW),Verheiratet,2417,Gemeinde
Hergiswil (NW),Verwitwet,328,Gemeinde
Hergiswil (NW),Geschieden,613,Gemeinde
Oberdorf (NW),Ledig,1407,Gemeinde
Oberdorf (NW),Verheiratet,1429,Gemeinde
Oberdorf (NW),Verwitwet,110,Gemeinde
Oberdorf (NW),Geschieden,154,Gemeinde
Stans,Ledig,3794,Gemeinde
Stans,Verheiratet,3556,Gemeinde
Stans,Verwitwet,368,Gemeinde
Stans,Geschieden,558,Gemeinde
Stansstad,Ledig,1800,Gemeinde
Stansstad,Verheiratet,1950,Gemeinde
Stansstad,Verwitwet,222,Gemeinde
Stansstad,Geschieden,424,Gemeinde
Wolfenschiessen,Ledig,1019,Gemeinde
Wolfenschiessen,Verheiratet,952,Gemeinde
Wolfenschiessen,Verwitwet,91,Gemeinde
Wolfenschiessen,Geschieden,86,Gemeinde
Glarus,Ledig,16607,Kanton
Glarus,Verheiratet,18015,Kanton
Glarus,Verwitwet,2338,Kanton
Glarus,Geschieden,3066,Kanton
Kanton Glarus,Ledig,16607,Bezirk
Kanton Glarus,Verheiratet,18015,Bezirk
Kanton Glarus,Verwitwet,2338,Bezirk
Kanton Glarus,Geschieden,3066,Bezirk
Glarus Nord,Ledig,7491,Gemeinde
Glarus Nord,Verheiratet,8069,Gemeinde
Glarus Nord,Verwitwet,971,Gemeinde
Glarus Nord,Geschieden,1266,Gemeinde
Glarus Süd,Ledig,3747,Gemeinde
Glarus Süd,Verheiratet,4460,Gemeinde
Glarus Süd,Verwitwet,641,Gemeinde
Glarus Süd,Geschieden,813,Gemeinde
Glarus,Ledig,5369,Gemeinde
Glarus,Verheiratet,5486,Gemeinde
Glarus,Verwitwet,726,Gemeinde
Glarus,Geschieden,987,Gemeinde
Zug,Ledig,53320,Kanton
Zug,Verheiratet,54888,Kanton
Zug,Verwitwet,4774,Kanton
Zug,Geschieden,9147,Kanton
Kanton Zug,Ledig,53320,Bezirk
Kanton Zug,Verheiratet,54888,Bezirk
Kanton Zug,Verwitwet,4774,Bezirk
Kanton Zug,Geschieden,9147,Bezirk
Baar,Ledig,10344,Gemeinde
Baar,Verheiratet,10533,Gemeinde
Baar,Verwitwet,977,Gemeinde
Baar,Geschieden,1706,Gemeinde
Cham,Ledig,7047,Gemeinde
Cham,Verheiratet,7140,Gemeinde
Cham,Verwitwet,571,Gemeinde
Cham,Geschieden,1195,Gemeinde
Hünenberg,Ledig,3815,Gemeinde
Hünenberg,Verheiratet,4107,Gemeinde
Hünenberg,Verwitwet,261,Gemeinde
Hünenberg,Geschieden,665,Gemeinde
Menzingen,Ledig,2052,Gemeinde
Menzingen,Verheiratet,1903,Gemeinde
Menzingen,Verwitwet,162,Gemeinde
Menzingen,Geschieden,322,Gemeinde
Neuheim,Ledig,984,Gemeinde
Neuheim,Verheiratet,932,Gemeinde
Neuheim,Verwitwet,85,Gemeinde
Neuheim,Geschieden,153,Gemeinde
Oberägeri,Ledig,2501,Gemeinde
Oberägeri,Verheiratet,2767,Gemeinde
Oberägeri,Verwitwet,240,Gemeinde
Oberägeri,Geschieden,432,Gemeinde
Risch,Ledig,4643,Gemeinde
Risch,Verheiratet,4648,Gemeinde
Risch,Verwitwet,288,Gemeinde
Risch,Geschieden,693,Gemeinde
Steinhausen,Ledig,4035,Gemeinde
Steinhausen,Verheiratet,4456,Gemeinde
Steinhausen,Verwitwet,350,Gemeinde
Steinhausen,Geschieden,702,Gemeinde
Unterägeri,Ledig,3560,Gemeinde
Unterägeri,Verheiratet,3974,Gemeinde
Unterägeri,Verwitwet,392,Gemeinde
Unterägeri,Geschieden,657,Gemeinde
Walchwil,Ledig,1396,Gemeinde
Walchwil,Verheiratet,1748,Gemeinde
Walchwil,Verwitwet,163,Gemeinde
Walchwil,Geschieden,277,Gemeinde
Zug,Ledig,12943,Gemeinde
Zug,Verheiratet,12680,Gemeinde
Zug,Verwitwet,1285,Gemeinde
Zug,Geschieden,2345,Gemeinde
Fribourg / Freiburg,Ledig,138940,Kanton
Fribourg / Freiburg,Verheiratet,131592,Kanton
Fribourg / Freiburg,Verwitwet,13403,Kanton
Fribourg / Freiburg,Geschieden,23511,Kanton
District de la Broye,Ledig,13778,Bezirk
District de la Broye,Verheiratet,13287,Bezirk
District de la Broye,Verwitwet,1342,Bezirk
District de la Broye,Geschieden,2437,Bezirk
Bussy (FR),Ledig,235,Gemeinde
Bussy (FR),Verheiratet,198,Gemeinde
Bussy (FR),Verwitwet,20,Gemeinde
Bussy (FR),Geschieden,30,Gemeinde
Châbles,Ledig,328,Gemeinde
Châbles,Verheiratet,354,Gemeinde
Châbles,Verwitwet,24,Gemeinde
Châbles,Geschieden,63,Gemeinde
Châtillon (FR),Ledig,188,Gemeinde
Châtillon (FR),Verheiratet,201,Gemeinde
Châtillon (FR),Verwitwet,18,Gemeinde
Châtillon (FR),Geschieden,40,Gemeinde
Cheiry,Ledig,152,Gemeinde
Cheiry,Verheiratet,175,Gemeinde
Cheiry,Verwitwet,13,Gemeinde
Cheiry,Geschieden,39,Gemeinde
Cheyres,Ledig,560,Gemeinde
Cheyres,Verheiratet,598,Gemeinde
Cheyres,Verwitwet,74,Gemeinde
Cheyres,Geschieden,179,Gemeinde
Cugy (FR),Ledig,771,Gemeinde
Cugy (FR),Verheiratet,676,Gemeinde
Cugy (FR),Verwitwet,81,Gemeinde
Cugy (FR),Geschieden,105,Gemeinde
Domdidier,Ledig,1388,Gemeinde
Domdidier,Verheiratet,1334,Gemeinde
Domdidier,Verwitwet,129,Gemeinde
Domdidier,Geschieden,213,Gemeinde
Dompierre (FR),Ledig,489,Gemeinde
Dompierre (FR),Verheiratet,415,Gemeinde
Dompierre (FR),Verwitwet,33,Gemeinde
Dompierre (FR),Geschieden,85,Gemeinde
Estavayer-le-Lac,Ledig,2780,Gemeinde
Estavayer-le-Lac,Verheiratet,2529,Gemeinde
Estavayer-le-Lac,Verwitwet,317,Gemeinde
Estavayer-le-Lac,Geschieden,582,Gemeinde
Fétigny,Ledig,441,Gemeinde
Fétigny,Verheiratet,431,Gemeinde
Fétigny,Verwitwet,37,Gemeinde
Fétigny,Geschieden,53,Gemeinde
Gletterens,Ledig,399,Gemeinde
Gletterens,Verheiratet,484,Gemeinde
Gletterens,Verwitwet,35,Gemeinde
Gletterens,Geschieden,86,Gemeinde
Léchelles,Ledig,394,Gemeinde
Léchelles,Verheiratet,321,Gemeinde
Léchelles,Verwitwet,30,Gemeinde
Léchelles,Geschieden,59,Gemeinde
Lully (FR),Ledig,540,Gemeinde
Lully (FR),Verheiratet,482,Gemeinde
Lully (FR),Verwitwet,37,Gemeinde
Lully (FR),Geschieden,65,Gemeinde
Ménières,Ledig,193,Gemeinde
Ménières,Verheiratet,181,Gemeinde
Ménières,Verwitwet,18,Gemeinde
Ménières,Geschieden,22,Gemeinde
Montagny (FR),Ledig,1040,Gemeinde
Montagny (FR),Verheiratet,1031,Gemeinde
Montagny (FR),Verwitwet,115,Gemeinde
Montagny (FR),Geschieden,167,Gemeinde
Morens (FR),Ledig,65,Gemeinde
Morens (FR),Verheiratet,73,Gemeinde
Morens (FR),Verwitwet,7,Gemeinde
Morens (FR),Geschieden,9,Gemeinde
Murist,Ledig,270,Gemeinde
Murist,Verheiratet,288,Gemeinde
Murist,Verwitwet,24,Gemeinde
Murist,Geschieden,39,Gemeinde
Nuvilly,Ledig,173,Gemeinde
Nuvilly,Verheiratet,175,Gemeinde
Nuvilly,Verwitwet,27,Gemeinde
Nuvilly,Geschieden,33,Gemeinde
Prévondavaux,Ledig,30,Gemeinde
Prévondavaux,Verheiratet,25,Gemeinde
Prévondavaux,Verwitwet,3,Gemeinde
Prévondavaux,Geschieden,7,Gemeinde
Rueyres-les-Prés,Ledig,192,Gemeinde
Rueyres-les-Prés,Verheiratet,192,Gemeinde
Rueyres-les-Prés,Verwitwet,24,Gemeinde
Rueyres-les-Prés,Geschieden,24,Gemeinde
Russy,Ledig,100,Gemeinde
Russy,Verheiratet,90,Gemeinde
Russy,Verwitwet,12,Gemeinde
Russy,Geschieden,14,Gemeinde
Saint-Aubin (FR),Ledig,713,Gemeinde
Saint-Aubin (FR),Verheiratet,760,Gemeinde
Saint-Aubin (FR),Verwitwet,59,Gemeinde
Saint-Aubin (FR),Geschieden,126,Gemeinde
Sévaz,Ledig,116,Gemeinde
Sévaz,Verheiratet,117,Gemeinde
Sévaz,Verwitwet,8,Gemeinde
Sévaz,Geschieden,29,Gemeinde
Surpierre,Ledig,138,Gemeinde
Surpierre,Verheiratet,151,Gemeinde
Surpierre,Verwitwet,15,Gemeinde
Surpierre,Geschieden,26,Gemeinde
Vallon,Ledig,192,Gemeinde
Vallon,Verheiratet,167,Gemeinde
Vallon,Verwitwet,18,Gemeinde
Vallon,Geschieden,27,Gemeinde
Villeneuve (FR),Ledig,158,Gemeinde
Villeneuve (FR),Verheiratet,169,Gemeinde
Villeneuve (FR),Verwitwet,15,Gemeinde
Villeneuve (FR),Geschieden,32,Gemeinde
Vuissens,Ledig,116,Gemeinde
Vuissens,Verheiratet,99,Gemeinde
Vuissens,Verwitwet,11,Gemeinde
Vuissens,Geschieden,19,Gemeinde
Les Montets,Ledig,670,Gemeinde
Les Montets,Verheiratet,583,Gemeinde
Les Montets,Verwitwet,47,Gemeinde
Les Montets,Geschieden,105,Gemeinde
Delley-Portalban,Ledig,429,Gemeinde
Delley-Portalban,Verheiratet,475,Gemeinde
Delley-Portalban,Verwitwet,54,Gemeinde
Delley-Portalban,Geschieden,108,Gemeinde
Vernay,Ledig,518,Gemeinde
Vernay,Verheiratet,513,Gemeinde
Vernay,Verwitwet,37,Gemeinde
Vernay,Geschieden,51,Gemeinde
District de la Glâne,Ledig,10581,Bezirk
District de la Glâne,Verheiratet,10063,Bezirk
District de la Glâne,Verwitwet,991,Bezirk
District de la Glâne,Geschieden,1642,Bezirk
Auboranges,Ledig,123,Gemeinde
Auboranges,Verheiratet,124,Gemeinde
Auboranges,Verwitwet,5,Gemeinde
Auboranges,Geschieden,20,Gemeinde
Billens-Hennens,Ledig,301,Gemeinde
Billens-Hennens,Verheiratet,314,Gemeinde
Billens-Hennens,Verwitwet,34,Gemeinde
Billens-Hennens,Geschieden,38,Gemeinde
Chapelle (Glâne),Ledig,112,Gemeinde
Chapelle (Glâne),Verheiratet,120,Gemeinde
Chapelle (Glâne),Verwitwet,11,Gemeinde
Chapelle (Glâne),Geschieden,16,Gemeinde
Le Châtelard,Ledig,169,Gemeinde
Le Châtelard,Verheiratet,172,Gemeinde
Le Châtelard,Verwitwet,22,Gemeinde
Le Châtelard,Geschieden,14,Gemeinde
Châtonnaye,Ledig,388,Gemeinde
Châtonnaye,Verheiratet,303,Gemeinde
Châtonnaye,Verwitwet,33,Gemeinde
Châtonnaye,Geschieden,62,Gemeinde
Ecublens (FR),Ledig,152,Gemeinde
Ecublens (FR),Verheiratet,147,Gemeinde
Ecublens (FR),Verwitwet,13,Gemeinde
