hausnummer,latitude,longitude,name,ort,plz,strasse,typ
44,47.132486,8.744998,coop-supermarkt-einsiedeln-wissmueli-markt-k-,Einsiedeln,8840,Zürichstrasse,retail
1,46.477862,8.799024,coop-supermarkt-faido,Faido,6760,Via Pian della Croce,retail
102,47.062987,7.616357,pronto-burgdorf,Burgdorf,3400,Kirchbergstrasse,pronto
,46.316305,8.492514,coop-supermarkt-bosco-gurin,Bosco Gurin,6685,Bosco Gurin,retail
23,47.266846,8.424128,coop-supermarkt-obfelden,Obfelden,8912,Ottenbacherstrasse,retail
75,47.139221,8.746085,pronto-einsiedeln,Einsiedeln,8840,Zürichstrasse,pronto
17,46.860324,7.493716,coop-supermarkt-toffen,Toffen,3125,Bahnhofstrasse,retail
3,46.307169,7.960355,coop-bau-hobby-b-h-brig-gamsen,Brig,3902,Industriestrasse,bh
5,46.307069,7.960588,lumimart-brig,Brig-Gamsen,3900,Industriestrasse,lumimart
3,46.89319,7.497673,coop-supermarkt-belp,Belp,3123,Schützenweg,retail
3,46.893541,7.497778,coop-restaurant-belp,Belp,3123,Schützenweg,restaurant
300,46.306168,7.960761,pronto-brig,Brig-Gamsen,3900,Kantonsstrasse,pronto
6,47.295324,8.242063,coop-supermarkt-fahrwangen,Fahrwangen,5615,Bärenplatz,retail
4,46.80965,7.478754,coop-supermarkt-riggisberg,Riggisberg,3132,Sonnenweg,retail
10,47.29571,8.22775,coop-supermarkt-meisterschwanden,Meisterschwanden,5616,Hauptstrasse,retail
24,47.260394,7.946699,coop-supermarkt-brittnau,Brittnau,4805,Dorfstrasse,retail
 15,47.274023,8.446068,interdiscount-affoltern-am-albis,Affoltern am Albis,8910,Büelstrasse,id
15,47.274167,8.446031,christ-affoltern-coopark-christ,Affoltern am Albis,8910,Büelstrasse,christ
15,47.274164,8.446388,coop-supermarkt-affoltern-am-albis,Affoltern am Albis,8910,Büelstrasse,retail
15,47.274164,8.446388,coop-restaurant-affoltern-am-albis,Affoltern am Albis,8910,Büelstrasse,restaurant
225,46.933061,7.506764,pronto-guemligen,Gümligen BE,3073,Worbstrasse,pronto
1,46.933297,7.503941,coop-supermarkt-guemligen-zentrum-moos,Gümligen,3073,Turbenweg,retail
1,46.933297,7.503941,coop-restaurant-guemligen-zentrum,Gümligen,3073,Turbenweg,restaurant
22,47.212214,7.791348,interdiscount-langenthal-affenplatz,Langenthal,4900,St. Urbanstrasse,id
7,47.211608,7.789324,christ-langenthal-christ,Langenthal,4900,Farbgasse,christ
3,47.21228,7.79012,coop-supermarkt-langenthal-tell,Langenthal,4900,St. Urbanstrasse,retail
3,47.21228,7.79012,coop-restaurant-langenthal-tell,Langenthal,4900,St. Urbanstrasse,restaurant
14,47.212401,7.789012,impo-langenthal-ip,Langenthal,4900,Marktgasse,impo
6,47.284218,8.453927,pronto-affoltern-am-albis,Affoltern am Albis,8910,Im Wängli,pronto
7,47.203719,8.68384,coop-supermarkt-richterswil-obermatt,Richterswil,8805,Obermattstrasse,retail
1,47.203517,8.685129,pronto-richterswil,Richterswil,8805,Obermattstrasse,pronto
142,46.959286,7.500347,coop-supermarkt-ostermundigen-ruetiweg,Ostermundigen,3072,Bernstrasse,retail
68,46.932155,7.484216,coop-supermarkt-muri,Muri,3074,Thunstrasse,retail
,47.21964,8.661382,cindy-cindy-s-diner-herrlisberg-sue,Wädenswil,8820,A3 (Richtung Chur),cindy
,47.220884,8.661133,cindy-cindy-s-diner-herrlisberg-no,Wädenswil,8820,A3 (Richtung Zürich),cindy
301,47.245315,8.60835,coop-supermarkt-horgen-waldegg,Horgen,8810,Einsiedlerstrasse,retail
57,46.296269,7.914619,coop-supermarkt-eyholz-center,Visp Eyholz,3930,Kantonsstrasse,retail
57,46.296269,7.914619,coop-restaurant-eyholz-center,Visp Eyholz,3930,Kantonsstrasse,restaurant
10,47.220797,7.781502,coop-supermarkt-langenthal-baeregg,Langenthal,4900,Bäreggstrasse,retail
10,47.220806,7.781476,coop-vitality-langenthal,Langenthal,4900,Bäreggstrasse,vitality
17,46.910805,7.470573,coop-supermarkt-kehrsatz,Kehrsatz,3122,Bernstrasse,retail
1,47.086761,7.583908,coop-restaurant-kirchberg,Kirchberg,3422,Zürichstrasse,restaurant
11,46.318427,8.601975,coop-supermarkt-cevio,Cevio,6675,Via Valmaggina,retail
50,47.077921,7.574601,pronto-alchenflueh-lyssach-center,Alchenflüh,3422,Bernstrasse,pronto
3,47.087624,7.584042,coop-supermarkt-kirchberg,Kirchberg,3422,Zürichstrasse,retail
19,46.973923,7.496579,coop-supermarkt-bolligen,Bolligen,3065,Dorfmärit,retail
9,47.072324,7.568597,coop-bau-hobby-b-h-lyssach,Lyssach,3421,Bernstrasse,bh
34,47.311928,8.114356,coop-supermarkt-unterkulm,Unterkulm,5726,Hauptstrasse,retail
9,47.072011,7.567793,interdiscount-lyssach,Lyssach,3421,Bernstrasse,id
9,47.072029,7.567806,livique-lyssach,Lyssach,3421,Bernstrasse,livique
103,47.217336,7.768675,pronto-langenthal,Langenthal,4900,Bützbergstrasse,pronto
24,47.242089,7.821262,coop-supermarkt-roggwil,Roggwil,4914,Bahnhofstrasse,retail
20,47.195156,8.723076,coop-supermarkt-wollerau,Wollerau,8832,Bahnhofstrasse,retail
20,46.937744,7.476447,coop-supermarkt-bern-egghoelzli,Bern,3015,Weltpoststrasse,retail
3,46.955651,7.483632,coop-supermarkt-ostermundigen-bahnhofstrasse,Ostermundigen,3072,Bahnhofstrasse,retail
3,46.955651,7.483632,coop-restaurant-ostermundigen-bahnhof,Ostermundigen,3072,Bahnhofstrasse,restaurant
3,46.95566,7.483632,interdiscount-ostermundigen,Ostermundigen,3072,Bahnhofstrasse,id
33C,47.228239,7.786515,coop-bau-hobby-b-h-langenthal,Langenthal,4900,Gaswerkstrasse,bh
2,47.279638,7.927016,coop-supermarkt-strengelbach,Strengelbach,4802,Streumattweg,retail
43,47.185798,7.70329,coop-supermarkt-herzogenbuchsee,Herzogenbuchsee,3360,Bernstrasse,retail
43,47.185798,7.70329,coop-restaurant-herzogenbuchsee,Herzogenbuchsee,3360,Bernstrasse,restaurant
40,47.185361,7.701533,pronto-herzogenbuchsee,Herzogenbuchsee,3360,Bernstrasse,pronto
14B,47.208474,8.705667,coop-supermarkt-richterswil-poststrasse,Richterswil,8805,Poststrasse,retail
31,47.308584,8.051127,coop-supermarkt-schoeftland,Schöftland,5040,Dorfstrasse,retail
15,46.9454,7.472761,coop-supermarkt-bern-freudenberg,Bern,3006,Giacomettistrasse,retail
35,47.259032,8.59874,coop-supermarkt-horgen-leue-huus,Horgen,8810,Zugerstrasse,retail
33,47.289258,7.94462,interdiscount-zofingen,Zofingen,4800,Vordere Hauptgasse,id
3,46.493336,7.560709,coop-supermarkt-adelboden,Adelboden,3715,Landstrasse,retail
39,47.213915,7.743704,coop-supermarkt-buetzberg,Bützberg,4922,Bernstrasse,retail
13,47.23109,8.669105,interdiscount-waedenswil,Wädenswil,8820,Florhofstrasse,id
8,47.261044,8.597225,pronto-horgen-am-bahnhof,Horgen,8810,Bahnhofstrasse,pronto
9,47.231083,8.669726,coop-supermarkt-waedenswil-di-alt-fabrik,Wädenswil,8820,Florhofstrasse,retail
90,47.23025,7.775555,pronto-aarwangen,Aarwangen,4912,Langenthalstrasse,pronto
6,47.230344,8.672377,coop-supermarkt-waedenswil,Wädenswil,8820,Zugerstrasse,retail
19,46.974119,7.481887,pronto-ittigen-talgut-zentrum,Ittigen,3063,Talgut-Zentrum,pronto
19,46.974227,7.48169,coop-supermarkt-ittigen,Ittigen,3063,Talgut-Zentrum,retail
19,46.974227,7.48169,coop-restaurant-ittigen,Ittigen,3063,Talgut-Zentrum,restaurant
1,46.293785,7.881673,pronto-visp-bahnhof,Visp,3930,Bahnhofplatz,pronto
4,47.292235,7.942626,coop-supermarkt-zofingen,Zofingen,4800,Aarburgerstrasse,retail
4,47.292235,7.942626,coop-restaurant-zofingen,Zofingen,4800,Aarburgerstrasse,restaurant
1,46.292561,7.879548,interdiscount-visp-brueckenweg,Visp,3930,Kantonsstrasse,id
1,46.292462,7.87956,impo-visp-centerpark-ip,Visp,3930,Kantonsstrasse,impo
1,46.292372,7.879702,coop-supermarkt-visp-center,Visp,3930,Kantonsstrasse,retail
26,47.24219,8.65561,coop-supermarkt-au-waedenswil,Au,8804,Alte Landstrasse,retail
1,46.296049,7.866248,pronto-visp,Visp,3930,Wehreyering,pronto
8,47.017781,7.501677,pronto-urtenen-schoenbuehl,Urtenen-Schönbühl,3322,Sandstrasse,pronto
2,46.973132,7.473383,lumimart-ittigen,Ittigen,3063,Mittelweg,lumimart
8,47.018663,7.500875,coop-supermarkt-schoenbuehl-center,Urtenen-Schönbühl,3322,Sandstrasse,retail
8,47.018663,7.500875,coop-restaurant-schoenbuehl,Urtenen-Schönbühl,3322,Sandstrasse,restaurant
240,46.928538,7.450455,coop-supermarkt-wabern,Wabern,3084,Seftigenstrasse,retail
85,46.961899,7.465151,coop-supermarkt-bern-wankdorf,Bern,3014,Papiermühlestrasse,retail
7,47.28924,8.539851,coop-supermarkt-langnau-am-albis,Langnau am Albis,8135,Höflistrasse,retail
7,47.28924,8.539851,ca-puccini-langnau-ca-puccini,Langnau am Albis,8135,Höflistrasse,capuccini
85,46.963599,7.465691,sapori-ditalia-bern-wankdorf-sapori,Bern,3014,Papiermühlestrasse,sapori
85,46.963599,7.465691,interdiscount-bern-wankdorf,Bern,3014,Papiermühlestrasse,id
26,47.278227,8.575391,coop-supermarkt-oberrieden,Oberrieden,8942,Alte Landstrasse,retail
71,46.963635,7.465586,christ-bern-wankdorf-christ,Bern,3014,Papiermühlestrasse,christ
85,46.963617,7.465572,coop-restaurant-bern-wankdorf-center,Bern,3014,Papiermühlestrasse,restaurant
85,46.963644,7.465572,impo-bern-wankdorf-ip,Bern,3014,Papiermühlestrasse,impo
85,46.963626,7.465533,coop-vitality-bern-wankdorf,Bern,3014,Papiermühlestrasse,vitality
12,47.02049,7.49805,coop-supermarkt-schoenbuehl-dorf,Schönbühl,3322,Zentrumsplatz,retail
62,47.267057,7.834946,pronto-murgenthal,Murgenthal,4853,Hauptstrasse,pronto
60,47.267504,7.835623,coop-supermarkt-murgenthal,Murgenthal,4853,Hauptstrasse,retail
4,47.284542,8.564329,coop-bau-hobby-b-h-thalwil,Thalwil,8800,Bönirainstrasse,bh
2,46.959275,7.455007,coop-supermarkt-bern-breitenrain,Bern,3014,Stauffacherstrasse,retail
2,46.959275,7.455007,coop-restaurant-bern-breitenrain,Bern,3014,Stauffacherstrasse,restaurant
92,47.042417,7.503482,interdiscount-jegenstorf,Jegenstorf,3303,Bernstrasse,id
90,47.041887,7.502902,interdiscount-onlineshop-b2c-id-ch,Jegenstorf,3303,Bernstrasse,id
24,46.948139,7.44598,coop-city-city-marktgasse,Bern,3011,Marktgasse,city
24,46.948112,7.445967,coop-supermarkt-city-bern-marktgasse-food,Bern,3011,Marktgasse,retail
32-34,46.948238,7.445691,impo-bern-marktgasse-ip,Bern,3001,Marktgasse,impo
42,46.962819,7.452223,pronto-bern-standstrasse,Bern,3014,Standstrasse,pronto
4,47.049819,7.506281,coop-supermarkt-jegenstorf,Jegenstorf,3303,Bernstrasse,retail
55,46.948014,7.444561,christ-bern-marktgasse-christ,Bern,3011,Marktgasse,christ
67,47.288676,8.573935,pronto-thalwil,Thalwil,8800,Seestrasse,pronto
16/18,47.305104,7.928704,lumimart-oftringen,Oftringen,4665,Nordstrasse,lumimart
2,46.948364,7.443379,coop-supermarkt-bern-spitalgasse,Bern,3011,Spitalgasse,retail
6,46.948589,7.443445,interdiscount-be-waisenhausplatz,Bern,3011,Waisenhausplatz,id
3,46.948652,7.443458,interdiscount-bern,Bern,3011,Neuengass-Unterführung,id
833,46.780994,7.408166,coop-supermarkt-rueschegg-heubach,Rüschegg-Heubach,3154,Aeugstenschwand,retail
2,46.979073,7.457616,coop-supermarkt-worblaufen,Worblaufen,3048,Tiefenaustrasse,retail
35,46.94778,7.441606,impo-bern-spitalgasse-ip,Bern,3000,Spitalgasse,impo
37,46.947627,7.441474,coop-supermarkt-bern-schauplatzgasse,Bern,3011,Spitalgasse,retail
26,46.949219,7.442079,coop-hotel-bern-hotel-savoy,Bern,3011,Neuengasse,hotel
53,46.949552,7.442039,coop-supermarkt-city-bern-ryfflihof-food,Bern,3011,Aarbergergasse,retail
53,46.949552,7.442039,coop-city-city-ryfflihof,Bern,3011,Aarbergergasse,city
53,46.949552,7.442039,coop-restaurant-bern-ryfflihof,Bern,3011,Aarbergergasse,restaurant
53,46.949552,7.442039,christ-bern-ryfflihof-christ,Bern,3011,Aarbergergasse,christ
53,46.949552,7.442039,take-it-bern-ryfflihof-take-it,Bern,3011,Aarbergergasse,takeit
53,46.949606,7.441553,impo-bern-ryfflihof-ip,Bern,3011,Aarbergergasse /Neuengasse,impo
3,46.949228,7.441317,coop-vitality-bern-ryfflihof,Bern,3011,Genfergasse,vitality
60,46.939477,7.436982,coop-supermarkt-bern-sulgenbach,Bern,3007,Eigerstrasse,retail
10a,46.948841,7.440936,coop-to-go-bern-bahnhof-to-go,Bern,3011,Bahnhofplatz,togo
17,47.294961,8.564152,impo-thalwil-gotthardstrasse-ip,Thalwil,8800,Gotthardstrasse,impo
10A,46.948841,7.440279,coop-supermarkt-bern-rbs,Bern,3011,Bahnhofplatz RBS,retail
,46.948841,7.440279,zopf-bern-bhf-marche-z-z,Bern,3000,Neuengass Unterführung,zopf
10,46.948931,7.439925,coop-supermarkt-bern-bahnhof,Bern,3011,Bahnhofplatz,retail
1,47.296627,8.562071,coop-vitality-thalwil,Thalwil,8800,Florastrasse,vitality
1,47.296627,8.562137,coop-supermarkt-thalwil,Thalwil,8800,Florastrasse,retail
1,47.296627,8.562137,coop-restaurant-thalwil,Thalwil,8800,Florastrasse,restaurant
1,47.296636,8.562124,interdiscount-thalwil,Thalwil,8800,Florastrasse,id
54,47.308407,7.926116,pronto-oftringen,Oftringen,4665,Luzernerstrasse,pronto
4,46.94787,7.43781,coop-supermarkt-bern-postparc,Bern,3008,Schanzenstrasse,retail
1,47.346978,8.245157,coop-supermarkt-villmergen,Villmergen,5612,Dorfplatz,retail
14,47.200457,8.778165,coop-supermarkt-pfaeffikon-sz-etzelstrasse,Pfäffikon,8808,Etzelstrasse,retail
 65,47.279735,8.615184,coop-supermarkt-feldmeilen,Feldmeilen,8706,General-Willestrasse,retail
65,47.279686,8.615553,ca-puccini-feldmeilen-ca-puccini,Feldmeilen,8706,General-Wille-Strasse,capuccini
81,47.269932,8.642801,interdiscount-meilen,Meilen,8706,Dorfstrasse,id
140,47.268607,8.646512,coop-supermarkt-meilen,Meilen,8706,Dorfstrasse,retail
4,46.930356,7.428264,coop-supermarkt-koeniz-steinhoelzli,Liebefeld,3097,Kirchstrasse,retail
189,47.000381,7.461554,pronto-zollikofen,Zollikofen,3052,Bernstrasse,pronto
5A,46.941096,7.431479,coop-supermarkt-bern-eigerplatz,Bern,3007,Eigerplatz,retail
18,47.347612,8.16171,coop-supermarkt-seon,Seon,5703,Unterdorfstrasse,retail
2,47.202934,8.778649,coop-supermarkt-pfaeffikon-bahnhof,Pfäffikon,8808,Bahnweg,retail
1,47.348476,8.269849,pronto-wohlen-bahnhof,Wohlen,5610,Bahnhofplatz,pronto
25,47.324181,8.468472,coop-supermarkt-bonstetten,Bonstetten,8906,Im Heumoos,retail
1,46.997135,7.458555,coop-supermarkt-zollikofen,Zollikofen,3052,Maritgasse,retail
1,46.997135,7.458555,coop-restaurant-zollikofen,Zollikofen,3052,Märitgasse,restaurant
5,47.08522,7.523656,coop-supermarkt-fraubrunnen,Fraubrunnen,3312,Bahnhofstrasse,retail
45,47.334085,8.024959,coop-supermarkt-koelliken,Kölliken,5742,Hauptstrasse,retail
2-6,47.350252,8.270499,coop-supermarkt-wohlen,Wohlen,5610,Alte Bahnhofstrasse,retail
2,47.350252,8.270499,coop-vitality-wohlen-cv,Wohlen,5610,Alte Bahnhofstrasse,vitality
59,47.350481,8.27119,interdiscount-wohlen,Wohlen,5610,Zenralstrasse,id
3,47.313027,8.525316,coop-supermarkt-adliswil,Adliswil,8134,Poststrasse,retail
45,47.286236,8.612842,coop-supermarkt-herrliberg,Herrliberg,8704,Forchstrasse,retail
1,47.312153,7.916535,interdiscount-oftringen-perry,Oftringen,4665,Bernstrasse,id
27-29,46.909925,7.41505,coop-supermarkt-koeniz-schliern,Schliern,3098,Schaufelweg,retail
1,47.311896,7.913306,coop-vitality-oftringen-perry-center,Oftringen,4665,Bernstrasse,vitality
,47.311896,7.913306,christ-oftringen-christ,Oftringen,4665,Perry Center,christ
18,47.255445,8.689723,coop-supermarkt-maennedorf,Männedorf,8708,Dammstrasse,retail
1,47.31205,7.912964,coop-supermarkt-oftringen-perry-center,Oftringen,4665,Bernstrasse,retail
1,47.31205,7.912964,impo-oftringen-perry-center-ip,Oftringen,4665,Bernstrasse,impo
63,46.95637,7.432029,coop-supermarkt-bern-zaehringerstrasse,Bern,3012,Zähringerstrasse,retail
20,46.945432,7.426777,coop-supermarkt-bern-brunnmatt,Bern,3007,Brunnmattstrasse,retail
133,47.202224,8.789389,coop-bau-hobby-b-h-pfaeffikon-sz,Pfäffikon,8808,Churerstrasse,bh
85,47.353362,8.253234,coop-bau-hobby-b-h-villmergen,Villmergen,5612,Anglikerstrasse,bh
126,47.305978,7.888512,coop-supermarkt-rothrist,Rothrist,4852,Bernstrasse,retail
93,47.262615,8.677139,coop-supermarkt-uetikon,Uetikon,8707,Bergstrasse,retail
11,47.307669,8.554223,coop-supermarkt-rueschlikon,Rüschlikon,8803,Weingartenstrasse,retail
6,47.200613,8.793229,interdiscount-pfaeffikon-sz-seedamm,Pfäffikon,8808,Seedamm-Center,id
1,46.953896,7.428719,coop-supermarkt-bern-muesmatt,Bern,3012,Genossenweg,retail
,47.200842,8.793671,christ-pfaeffikon-sz-seedamm-christ,Pfäffikon,8808,Seedamm Center,christ
15,47.200611,8.794972,coop-supermarkt-pfaeffikon-sz-seedamm,Pfäffikon,8808,Gwattstrasse,retail
5,46.923293,7.415477,coop-supermarkt-koeniz-stapfenmaerit,Köniz,3098,Stapfenstrasse,retail
5,46.923293,7.415477,coop-restaurant-koeniz-stapfenmaerit,Köniz,3098,Stapfenstrasse,restaurant
4+6,47.241593,8.724681,coop-supermarkt-staefa,Stäfa,8712,Kronenstrasse,retail
23,46.314966,7.744218,coop-supermarkt-gampel,Gampel,3945,Bahnhofstrasse,retail
7,47.131686,7.556786,coop-supermarkt-utzenstorf,Utzenstorf,3427,Unterdorfstrasse,retail
2,47.351651,8.34857,coop-supermarkt-bremgarten,Bremgarten,5620,Sonnengutstrasse,retail
2,47.313755,7.893855,pronto-rothrist,Rothrist,4852,Neue Aarburgerstrasse,pronto
72,47.193941,8.817252,pronto-altendorf,Altendorf,8852,Zürcherstrasse,pronto
200,47.326264,8.514248,coop-supermarkt-zuerich-leimbach,Zürich,8041,Leimbachstrasse,retail
104,47.198008,8.812698,livique-altendorf,Altendorf,8852,Zürcherstrasse,livique
2,47.355549,8.349378,pronto-bremgarten,Bremgarten,5620,Badenerstrasse,pronto
43,47.350002,8.051629,pronto-oberentfelden,Oberentfelden,5036,Industriestrasse,pronto
3,47.174189,7.59917,coop-supermarkt-kriegstetten,Kriegstetten,4566,Haltenstrasse,retail
80,47.34883,8.036807,livique-oberentfelden,Oberentfelden,5036,Köllikerstrasse,livique
125,47.362543,8.266242,pronto-wohlen,Wohlen,5610,Raimattstrasse,pronto
17,47.307028,8.589256,coop-supermarkt-erlenbach,Erlenbach,8703,Seestrasse,retail
30,47.358673,8.098971,coop-supermarkt-graenichen,Gränichen,5722,Mitteldorfstrasse,retail
802,46.885441,7.388322,coop-supermarkt-niederscherli,Niederscherli,3145,Schwarzenburgstrasse,retail
114,47.327449,8.529856,pronto-adliswil,Adliswil ZH,8134,Zürichstrasse,pronto
1,46.943853,7.406169,coop-supermarkt-bern-europaplatz,Bern,3008,Europaplatz,retail
1a,46.943853,7.406169,coop-vitality-bern,Bern,3008,Europaplatz,vitality
11,47.32311,8.548989,coop-supermarkt-kilchberg,Kilchberg,8802,Bahnhofstrasse,retail
39,47.019831,7.444688,coop-supermarkt-muenchenbuchsee,Münchenbuchsee,3053,Oberdorfstrasse,retail
39,47.019831,7.444688,coop-restaurant-muenchenbuchsee,Münchenbuchsee,3053,Oberdorfstrasse,restaurant
2,47.131173,7.537911,coop-supermarkt-baetterkinden,Bätterkinden,3315,Kyburgstrasse,retail
8,47.173362,7.585264,pronto-obergerlafingen,Obergerlafingen,4564,Bolacker,pronto
,47.309938,7.846597,pronto-gunzgen-sued-raststaette,Gunzgen,4616,Autobahnraststätte A1,pronto
,47.310092,7.846519,marche-marche-gunzgen-sued,Kappel,4616,A1 (Richtung Zürich),marche
3,47.361708,8.367712,coop-supermarkt-berikon,Berikon,8965,Bahnhofstrasse,retail
6,47.370107,8.23171,pronto-dintikon,Dintikon,5606,Gartenweg,pronto
61,47.342822,8.483085,coop-supermarkt-stallikon,Stallikon,8143,Sellenbüren,retail
21,47.026568,7.444083,pronto-muenchenbuchsee,Münchenbuchsee,3053,Bielstrasse,pronto
1,47.363706,8.091806,pronto-graenichen,Gränichen,5722,Mattenstrasse,pronto
8,47.196504,7.612618,coop-supermarkt-subingen,Subingen,4553,Wachtelweg,retail
16,47.317962,8.581581,coop-supermarkt-kuesnacht-dorf,Küsnacht,8700,Dorfstrasse,retail
13A,47.353812,8.436602,coop-supermarkt-birmensdorf,Birmensdorf,8903,Zürcherstrasse,retail
3,47.360569,8.051989,coop-supermarkt-unterentfelden,Unterentfelden,5035,Schinhuetweg,retail
3,47.360764,8.0526,ca-puccini-unterentfelden-ca-puccini,Unterentfelden,5035,Schinhuetweg,capuccini
52,47.361339,8.052633,coop-bau-hobby-b-h-unterentfelden,Unterentfelden,5035,Suhrenmattstrasse,bh
89,46.937786,7.393408,pronto-bern-morgenstrasse,Bern,3018,Morgenstrasse,pronto
1,47.171065,7.573057,coop-supermarkt-gerlafingen,Gerlafingen,4563,Kriegstettenstrasse,retail
118,46.941348,7.39175,coop-restaurant-bern-buempliz,Bern,3018,Brünnenstrasse,restaurant
118,46.941402,7.391763,interdiscount-bern-bruennenstrasse,Bern,3018,Brünnenstrasse,id
117,46.941887,7.391855,coop-supermarkt-bern-buempliz,Bern,3018,Brünnenstrasse,retail
127,47.336224,7.907304,pronto-aarburg,Aarburg,4663,Oltnerstrasse,pronto
15,46.950928,7.3932,pronto-bern-bethlehem,Bern,3027,Eymattstrasse,pronto
9,47.191192,8.854767,interdiscount-lachen,Lachen,8853,Oberdorfstrasse,id
7/9,46.950712,7.392188,coop-supermarkt-bern-bethlehem,Bern,3027,Kasparstrasse,retail
7/9,46.950712,7.392188,coop-bau-hobby-b-h-bern-bethlehem,Bern,3027,Kasparstrasse,bh
7/9,46.950712,7.392188,coop-restaurant-bern-bethlehem,Bern,3027,Kasparstrasse,restaurant
7+9,46.950712,7.392175,interdiscount-bern-bethlehem,Bern,3027,Kasparstrasse,id
39,47.327262,8.574411,coop-bau-hobby-b-h-kuesnacht,Küsnacht,8700,Seestrasse,bh
39,47.327262,8.574411,interdiscount-kuesnacht,Küsnacht,8700,Seestrasse,id
7/9,46.950874,7.392044,livique-bern-bethlehem,Bern,3027,Kasparstrasse,livique
6,47.19143,8.855868,coop-supermarkt-lachen,Lachen,8853,Feldstrasse,retail
15,47.340169,8.530659,coop-supermarkt-zuerich-wollishofen,Zürich,8038,Alte Kalchbühlstrasse,retail
5,47.234351,7.656161,coop-supermarkt-wangen-an-der-aare,Wangen an der Aare,3380,Vorstadt,retail
3,47.198691,7.598913,pronto-derendingen,Derendingen,4552,Fabrikstrasse,pronto
553,46.925249,7.37803,coop-supermarkt-niederwangen,Niederwangen,3172,Freiburgstrasse,retail
110/112,47.359615,8.45392,pronto-birmensdorf,Birmensdorf,8903,Zürcherstrasse,pronto
10,46.927488,7.377148,lumimart-niederwangen,Niederwangen,3172,Riedmoosstrasse,lumimart
20,47.381651,8.239033,coop-supermarkt-dottikon,Dottikon,5605,Bahnhofstrasse,retail
12,47.374293,8.077304,coop-supermarkt-suhr,Suhr,5034,Obere Dorfstrasse,retail
101,47.346743,7.921477,coop-supermarkt-olten-wilerfeld,Olten,4600,Wilerweg,retail
2,47.225321,8.817889,coop-supermarkt-rapperswil-bahnhof,Rapperswil,8640,Untere Bahnhofstrasse,retail
35,47.196307,7.586026,coop-supermarkt-derendingen,Derendingen,4552,Steinmattstrasse,retail
3,47.353718,7.945708,coop-supermarkt-dulliken,Dulliken,4657,Jurastrasse,retail
,47.377879,8.089026,interdiscount-suhr,Suhr,5034,Bernstrasse-Ost,id
,47.327045,8.601555,coop-supermarkt-kuesnacht-itschnach,Küsnacht,8700,Ecke Sonnenrein/Zumikerstrasse,retail
339,47.347127,8.533104,coop-supermarkt-zuerich-wollishofen-seestr-,Zürich,8038,Seestrasse,retail
,47.346091,7.909376,interdiscount-olten-saelipark,Olten,4600,Sälipark,id
44,47.18187,7.563256,coop-supermarkt-biberist,Biberist,4562,Hauptstrasse,retail
44,47.18187,7.563256,coop-restaurant-biberist,Biberist,4562,Hauptstrasse,restaurant
44,47.181879,7.563242,coop-vitality-biberist,Biberist,4562,Hauptstrasse,vitality
49,47.353567,7.934946,pronto-dulliken,Dulliken,4657,alte Landstrasse,pronto
 24,47.347102,7.908696,coop-supermarkt-olten-saelihof,Olten,4600,Von Roll-Strasse,retail
40,46.948573,7.377085,coop-supermarkt-bern-gaebelbach,Bern,3027,Weiermattstrasse,retail
101,47.336909,8.576668,coop-supermarkt-zollikon,Zollikon,8702,Alte Landstrasse,retail
22,47.227547,8.822014,coop-supermarkt-rapperswil,Rapperswil,8640,Jägerweg,retail
4,47.229064,8.820799,impo-rapperswil-ip,Rapperswil,8640,Zürcherstrasse,impo
4,47.229172,8.820775,christ-rapperswil-christ,Rapperswil,8640,Zürcherstrasse,christ
1,47.386272,8.130701,pronto-hunzenschwil,Hunzenschwil,5502,Gewerbestrasse,pronto
2,47.269498,7.693503,coop-supermarkt-niederbipp,Niederbipp,4704,Bahnhofstrasse,retail
10,47.316773,7.801191,livique-egerkingen-hausimol,Egerkingen,4622,Hausimollstrasse,livique
1,47.317255,7.802451,coop-bau-hobby-b-h-egerkingen-gaeupark,Egerkingen,4622,Hausimollstrasse,bh
10,46.819799,7.341903,coop-supermarkt-schwarzenburg,Schwarzenburg,3150,Bernstrasse,retail
10,46.819799,7.341903,coop-restaurant-schwarzenburg,Schwarzenburg,3150,Bernstrasse,restaurant
,47.228682,7.621477,marche-marche-deitingen-nord,Deitingen,4543,A1 (Richtung Bern),marche
,47.226081,7.616833,cindy-cindy-s-diner-deitingen-sued,Deitingen,4543,A1 (Richtung Basel/Zürich),cindy
3,47.317981,7.803091,coop-supermarkt-egerkingen-gaeupark,Egerkingen,4622,Hausimollstrasse,retail
3,47.317981,7.803091,coop-restaurant-egerkingen-gaeupark,Egerkingen,4622,Hausimollstrasse,restaurant
 3,47.317981,7.803091,coop-vitality-einkaufszentrum-gaeupark,Egerkingen,4622,Hausimollstrasse,vitality
3,47.317981,7.803091,take-it-egerkingen-gaeupark,Egerkingen,4622,Hausimollstrasse,takeit
3,47.317981,7.803077,interdiscount-egerkingen-gaeupark,Egerkingen,4622,Hausimollstrasse,id
1,47.368123,8.462264,coop-supermarkt-uitikon-waldegg,Uitikon,8142,Zürcherstrasse,retail
4,47.233882,8.818903,interdiscount-rapperswil,Rapperswil,8640,Zürcherstrasse,id
3,47.318548,7.803161,pronto-egerkingen-gaeupark,Egerkingen,4622,Hausimollstrasse,pronto
2,47.389857,8.170654,interdiscount-lenzburg,Lenzburg,5600,Zeughausstrasse,id
