Rubrik,Name,Bank,Vorname,Strasse + Nr,PLZ,Ort,Telefon 1
Bank Sparkasse:,Raiffeisenbank Seeland Genossenschaft,Raiffeisenbank Seeland Genossenschaft,,Hauptstr. 190,2552,Orpund,032 387 21 21
Bank Sparkasse:,BEKB | BCBE Ostermundigen,BEKB | BCBE Ostermundigen,,Bernstr. 42,3072,Ostermundigen,* 031 939 46 60
Bank Sparkasse:,CREDIT SUISSE AG,CREDIT SUISSE,,Bernstr. 34,3072,Ostermundigen,* 031 939 72 22
Bank Sparkasse:,family-net.ch,family-net.ch,,Bernstr. 34,3072,Ostermundigen,* 031 868 98 91
Bank Sparkasse:,Raiffeisenbank Worblen - Emmental Genossenschaft,Raiffeisenbank Worblen - Emmental Genossenschaft,,Bernstr. 81,3072,Ostermundigen,* 031 838 55 55
Bank Sparkasse:,Valiant Bank AG,Valiant Bank,,Bernstr. 32,3072,Ostermundigen,* 031 931 84 84
,Valiant Bank AG,Valiant Bank,,Bernstr. 32,3072,Ostermundigen,* 031 931 84 84
Bank Sparkasse:,Raiffeisenbank Sarganserland,Raiffeisenbank Sarganserland,,Hintergasse 11,7312,Pfäfers,081 725 38 38
Autoleasing:,BANK-now AG Pfäffikon SZ,BANK-now Pfäffikon SZ,,Zentrum Staldenbach 6,8808,Pfäffikon SZ,058 900 63 50
Bank Sparkasse:,acrevis Bank Pfäffikon,acrevis Bank Pfäffikon,,Churerstr. 24,8808,Pfäffikon SZ,* 058 122 75 55
Bank Sparkasse:,Bank Linth LLB AG,Bank Linth LLB,,Churerstr. 25,8808,Pfäffikon SZ,* 0844 11 44 11
Bank Sparkasse:,BANK-now AG Pfäffikon SZ,BANK-now Pfäffikon SZ,,Zentrum Staldenbach 6,8808,Pfäffikon SZ,058 900 63 50
Bank Sparkasse:,CREDIT SUISSE AG,CREDIT SUISSE,,Bahnhofstr. 1,8808,Pfäffikon SZ,* 055 416 01 01
Bank Sparkasse:,Migros Bank,Migros Bank,,Huobstr. 10,8808,Pfäffikon SZ,* 0848 84 54 00
Bank Sparkasse:,Raiffeisenbank Höfe Genossenschaft,Raiffeisenbank Höfe Genossenschaft,,Churerstr. 42,8808,Pfäffikon SZ,* 044 782 10 10
Bank Sparkasse:,Schwyzer Kantonalbank,Schwyzer Kantonalbank,,Gwattstr. 11,8808,Pfäffikon SZ,* 058 800 20 20
Bank Sparkasse:,Schwyzer Kantonalbank,Schwyzer Kantonalbank,,Bahnhofstr. 6,8808,Pfäffikon SZ,* 058 800 20 20
Bank Sparkasse:,UBS Switzerland AG,UBS Switzerland,,Churerstr. 70,8808,Pfäffikon SZ,* 055 416 37 11
Bankdienstleistung:,BANK-now AG Pfäffikon SZ,BANK-now Pfäffikon SZ,,Zentrum Staldenbach 6,8808,Pfäffikon SZ,058 900 63 50
,Bank Linth LLB AG,Bank Linth LLB,,Churerstr. 25,8808,Pfäffikon SZ,055 415 68 21
,BANK-now AG Pfäffikon SZ,BANK-now Pfäffikon SZ,,Zentrum Staldenbach 6,8808,Pfäffikon SZ,058 900 63 50
Finanzierungen:,BANK-now AG Pfäffikon SZ,BANK-now Pfäffikon SZ,,Zentrum Staldenbach 6,8808,Pfäffikon SZ,058 900 63 50
Kreditinstitute:,BANK-now AG Pfäffikon SZ,BANK-now Pfäffikon SZ,,Zentrum Staldenbach 6,8808,Pfäffikon SZ,058 900 63 50
Leasing:,BANK-now AG Pfäffikon SZ,BANK-now Pfäffikon SZ,,Zentrum Staldenbach 6,8808,Pfäffikon SZ,058 900 63 50
,Migros Bank,Migros Bank,,Huobstr. 10,8808,Pfäffikon SZ,* 0848 84 54 00
Privatkredit:,BANK-now AG Pfäffikon SZ,BANK-now Pfäffikon SZ,,Zentrum Staldenbach 6,8808,Pfäffikon SZ,058 900 63 50
Bank Sparkasse:,Clientis Zürcher Regionalbank Genossenschaft,Clientis Zürcher Regionalbank Genossenschaft,,Bahnhofstr. 16,8330,Pfäffikon ZH,044 952 15 15
Bank Sparkasse:,UBS Switzerland AG,UBS Switzerland,,Seestr. 27,8330,Pfäffikon ZH,* 044 952 45 45
Bank Sparkasse:,Zürcher Kantonalbank,Zürcher Kantonalbank,,Turmstr. 5,8330,Pfäffikon ZH,* 0844 84 38 23
Bank Sparkasse:,Raiffeisenbank Luzerner Landschaft Nordwest Genossenschaft,Raiffeisenbank Luzerner Landschaft Nordwest Genossenschaft,,Dorfstr. 17,6264,Pfaffnau,* 041 984 25 25
Bank Sparkasse:,Freiburger Kantonalbank,Freiburger Kantonalbank,,Dorfstr. 26,1716,Plaffeien,0848 35 23 52
Bank Sparkasse:,Basellandschaftliche Kantonalbank,Basellandschaftliche Kantonalbank,,Bahnhofstr. 16,4133,Pratteln,* 061 925 94 94
Bank Sparkasse:,UBS Switzerland AG,UBS Switzerland,,Bahnhofstr. 5,4133,Pratteln,* 061 826 71 71
Bank Sparkasse:,Zürcher Kantonalbank,Zürcher Kantonalbank,,Bahnhofstr. 5,8197,Rafz,* 0844 84 38 23
Bank Sparkasse:,Raiffeisenbank Rothenburg Genossenschaft,Raiffeisenbank Rothenburg Genossenschaft,,Chilestr. 2,6026,Rain,041 459 71 11
Bank Sparkasse:,Schaffhauser Kantonalbank,Schaffhauser Kantonalbank,,Bahnhofstr. 297,8262,Ramsen,* 052 742 84 00
Bank Sparkasse:,Raiffeisenbank Mischabel-Matterhorn Genossenschaft,Raiffeisenbank Mischabel-Matterhorn Genossenschaft,,Haus Zum Bild,3928,Randa,* 027 955 19 00
Bank Sparkasse:,BEKB | BCBE Rapperswil,BEKB | BCBE Rapperswil,,Hauptstr. 66,3255,Rapperswil BE,* 031 879 12 22
Bank Sparkasse:,Raiffeisenbank Gampel-Raron,Raiffeisenbank Gampel-Raron,,Brückenmoosstr. 2,3942,Raron,027 933 13 13
Bank Sparkasse:,Walliser Kantonalbank,Walliser Kantonalbank,,Bahnhofstr.,3942,Raron,027 934 18 19
Bank Sparkasse:,Raiffeisenbank Marbach-Rebstein Genossenschaft,Raiffeisenbank Marbach-Rebstein Genossenschaft,,Staatsstr. 99,9445,Rebstein,* 071 775 81 81
Bank Sparkasse:,Raiffeisenbank Züri-Unterland Genossenschaft,Raiffeisenbank Züri-Unterland Genossenschaft,,Watterstr. 31,8105,Regensdorf,044 872 72 72
Bank Sparkasse:,UBS Switzerland AG,UBS Switzerland,,Zentrum,8105,Regensdorf,* 044 842 60 60
Bank Sparkasse:,Zürcher Kantonalbank,Zürcher Kantonalbank,,Watterstr. 57,8105,Regensdorf,* 0844 84 38 23
Bank Sparkasse:,Raiffeisenbank Frutigland Genossenschaft,Raiffeisenbank Frutigland Genossenschaft,,Bahnhofstr. 21,3713,Reichenbach im Kandertal,033 672 42 42
Bank Sparkasse:,Spar- und Leihkasse Frutigen AG,Spar- und Leihkasse Frutigen,,Bahnhofstr.,3713,Reichenbach im Kandertal,* 033 672 18 18
Bank Sparkasse:,Schwyzer Kantonalbank,Schwyzer Kantonalbank,,,8864,Reichenburg,* 058 800 20 20
Bank Sparkasse:,Luzerner Kantonalbank AG,Luzerner Kantonalbank,,Hauptstr. 48,6260,Reiden,* 0844 82 28 11
Bank Sparkasse:,Raiffeisenbank Luzerner Landschaft Nordwest Genossenschaft,Raiffeisenbank Luzerner Landschaft Nordwest Genossenschaft,,Walke B,6260,Reiden,* 041 984 25 25
Bank Sparkasse:,Triba Partner Bank AG,Triba Partner Bank,,Bahnhofstr. 10,6260,Reiden,* 062 749 20 00
,Triba Partner Bank AG,Triba Partner Bank,,Bahnhofstr. 10,6260,Reiden,* 062 749 20 00
Bank Sparkasse:,Basellandschaftliche Kantonalbank,Basellandschaftliche Kantonalbank,,Dorfpl. 2,4418,Reigoldswil,* 061 925 94 94
Bank Sparkasse:,Aargauische Kantonalbank,Aargauische Kantonalbank,,Hauptstr. 60,5734,Reinach AG,* 062 765 80 50
Bank Sparkasse:,Neue Aargauer Bank AG,Neue Aargauer Bank,,,5734,Reinach AG,* 062 765 11 11
Bank Sparkasse:,Raiffeisenbank Beromünster Genossenschaft,Raiffeisenbank Beromünster Genossenschaft,,Sandgasse 11,5734,Reinach AG,062 772 36 10
Bank Sparkasse:,UBS Switzerland AG,UBS Switzerland,,Hauptstr. 69,5734,Reinach AG,* 062 765 59 59
Bank Sparkasse:,Valiant Bank AG,Valiant Bank,,Hauptstr. 65,5734,Reinach AG,* 062 765 65 65
,Neue Aargauer Bank AG,Neue Aargauer Bank,,,5734,Reinach AG,* 062 765 11 11
,Valiant Bank AG,Valiant Bank,,Hauptstr. 65,5734,Reinach AG,* 062 765 65 65
Bank Sparkasse:,Basellandschaftliche Kantonalbank,Basellandschaftliche Kantonalbank,,Hauptstr. 3,4153,Reinach BL,* 061 925 94 94
Bank Sparkasse:,CREDIT SUISSE AG,CREDIT SUISSE,,Hauptstr. 36,4153,Reinach BL,* 061 715 37 37
Bank Sparkasse:,Migros Bank,Migros Bank,,Hauptstr. 15,4153,Reinach BL,* 0848 84 54 00
Bank Sparkasse:,Raiffeisenbank Reinach BL Genossenschaft,Raiffeisenbank Reinach BL Genossenschaft,,Hauptstr. 9,4153,Reinach BL,061 717 98 68
Bank Sparkasse:,UBS Switzerland AG,UBS Switzerland,,Austr. 2,4153,Reinach BL,* 061 716 72 72
Bank Sparkasse:,Valiant Bank AG,Valiant Bank,,Hauptstr. 8,4153,Reinach BL,* 061 717 50 50
,Migros Bank,Migros Bank,,Hauptstr. 15,4153,Reinach BL,* 0848 84 54 00
,Valiant Bank AG,Valiant Bank,,Hauptstr. 8,4153,Reinach BL,* 061 717 50 50
Bank Sparkasse:,Raiffeisenbank Weinland Genossenschaft,Raiffeisenbank Weinland Genossenschaft,,Ochsengasse 1,8462,Rheinau,* 052 304 30 00
Bank Sparkasse:,Raiffeisenbank Unteres Rheintal,Raiffeisenbank Unteres Rheintal,,Bahnhofstr. 38,9424,Rheineck,* 071 747 12 12
Bank Sparkasse:,St.Galler Kantonalbank AG,St.Galler Kantonalbank,,Bahnhofstr. 52,9424,Rheineck,071 888 52 88
,Bank,Bank,Esther,Quellenstr. 41C,4310,Rheinfelden,061 361 27 43
Bank Sparkasse:,Aargauische Kantonalbank,Aargauische Kantonalbank,,Kaiserstr. 8,4310,Rheinfelden,* 061 836 31 31
Bank Sparkasse:,CREDIT SUISSE AG,CREDIT SUISSE,,Kaiserstr. 4,4310,Rheinfelden,* 061 836 44 00
Bank Sparkasse:,Neue Aargauer Bank AG,Neue Aargauer Bank,,Zollrain 9,4310,Rheinfelden,* 061 836 72 72
Bank Sparkasse:,UBS Switzerland AG,UBS Switzerland,,Kaiserstr. 9,4310,Rheinfelden,* 061 836 49 49
,Neue Aargauer Bank AG,Neue Aargauer Bank,,Zollrain 9,4310,Rheinfelden,* 061 836 72 72
Bank Sparkasse:,Clientis Sparcassa 1816,Clientis Sparcassa 1816,,Dorfstr. 11A,8805,Richterswil,* 044 787 67 40
Bank Sparkasse:,Zürcher Kantonalbank,Zürcher Kantonalbank,,Schützengass 11,8805,Richterswil,* 0844 84 38 23
Bank Sparkasse:,Raiffeisenbank Rickenbach-Wilen Genossenschaft,Raiffeisenbank Rickenbach-Wilen Genossenschaft,,Wilenstr. 23,9532,Rickenbach b. Wil,* 071 929 90 90
Bank Sparkasse:,Thurgauer Kantonalbank,Thurgauer Kantonalbank,,Toggenburgerstr. 40,9532,Rickenbach b. Wil,* 0848 11 14 44
Bank Sparkasse:,Valiant Bank AG,Valiant Bank,,Dorfstr. 2,6221,Rickenbach LU,* 041 930 25 50
,Valiant Bank AG,Valiant Bank,,Dorfstr. 2,6221,Rickenbach LU,* 041 930 25 50
Bank Sparkasse:,Raiffeisenbank Belalp-Simplon Genossenschaft,Raiffeisenbank Belalp-Simplon Genossenschaft,,Simplonstr. 57,3911,Ried-Brig,027 921 64 10
Bank Sparkasse:,Raiffeisenbank Aletsch-Goms Genossenschaft,Raiffeisenbank Aletsch-Goms Genossenschaft,,Bahnhofstr. 13,3987,Riederalp,* 027 974 14 14
Bank Sparkasse:,Raiffeisenbank Aletsch-Goms Genossenschaft,Raiffeisenbank Aletsch-Goms Genossenschaft,,Seilbahnstr. 4,3986,Ried-Mörel,* 027 974 14 14
Bank Sparkasse:,CREDIT SUISSE AG,CREDIT SUISSE,,Baselstr. 20,4125,Riehen,* 061 645 59 11
Bank Sparkasse:,Migros Bank,Migros Bank,,Rössligasse 20,4125,Riehen,* 0848 84 54 00
Bank Sparkasse:,Raiffeisen Schweiz Genossenschaft,Raiffeisen Schweiz Genossenschaft,,Baselstr. 56,4125,Riehen,061 226 27 77
Bank Sparkasse:,UBS Switzerland AG,UBS Switzerland,,Baselstr. 48,4125,Riehen,* 061 645 21 21
,Migros Bank,Migros Bank,,Rössligasse 20,4125,Riehen,* 0848 84 54 00
Bank Sparkasse:,Spar+Leihkasse Riggisberg AG,Spar+Leihkasse Riggisberg,,Grabenstr. 7,3132,Riggisberg,* 031 808 08 08
Bank Sparkasse:,Raiffeisenbank Jungfrau Genossenschaft,Raiffeisenbank Jungfrau Genossenschaft,,Hauptstr. 169,3852,Ringgenberg BE,033 828 61 61
Bank Sparkasse:,BEKB | BCBE Roggwil,BEKB | BCBE Roggwil,,Brennofenstr. 1,4914,Roggwil BE,* 062 929 28 88
,Clientis Bank Oberaargau,Clientis Bank Oberaargau,,Dorfstr. 2,4914,Roggwil BE,* 062 929 29 39
,Clientis Bank Oberaargau,Clientis Bank Oberaargau,,Bahnhofstr. 9,4938,Rohrbach,* 062 965 11 56
Bank Sparkasse:,CREDIT SUISSE AG,CREDIT SUISSE,,Bahnhofstr. 3,8590,Romanshorn,* 071 466 91 61
Bank Sparkasse:,Raiffeisenbank Genossenschaft,Raiffeisenbank Genossenschaft,,Alleestr. 31,8590,Romanshorn,071 474 74 44
Bank Sparkasse:,Thurgauer Kantonalbank,Thurgauer Kantonalbank,,Bahnhofstr. 54a,8590,Romanshorn,* 0848 11 14 44
Bank Sparkasse:,Raiffeisenbank Hitzkirchertal Genossenschaft,Raiffeisenbank Hitzkirchertal Genossenschaft,,Dorf 1,6027,Römerswil LU,* 041 919 61 00
Bank Sparkasse:,Raiffeisenbank im Entlebuch,Raiffeisenbank im Entlebuch,,Dorf,6113,Romoos,* 041 487 90 70
Bank Sparkasse:,Luzerner Kantonalbank AG,Luzerner Kantonalbank,,Bahnhofstr. 16,6037,Root,* 0844 82 28 11
Bank Sparkasse:,Raiffeisenbank Luzern,Raiffeisenbank Luzern,,Schulstr. 1,6037,Root,041 226 20 00
Bank Sparkasse:,Raiffeisenbank Oberes Emmental,Raiffeisenbank Oberes Emmental,,Dorf,3538,Röthenbach im Emmental,* 034 409 49 49
Bank Sparkasse:,Luzerner Kantonalbank AG,Luzerner Kantonalbank,,Flecken 23,6023,Rothenburg,* 0844 82 28 11
Bank Sparkasse:,Raiffeisenbank Rothenburg Genossenschaft,Raiffeisenbank Rothenburg Genossenschaft,,Stationsstr. 7,6023,Rothenburg,041 289 11 11
Bank Sparkasse:,Schwyzer Kantonalbank,Schwyzer Kantonalbank,,Bahnhofstr. 1,6418,Rothenthurm,* 058 800 20 20
Bank Sparkasse:,Aargauische Kantonalbank,Aargauische Kantonalbank,,Bernstr. 122,4852,Rothrist,* 062 785 60 85
Bank Sparkasse:,Neue Aargauer Bank AG,Neue Aargauer Bank,,Bernstr. 189,4852,Rothrist,* 062 785 88 88
,Neue Aargauer Bank AG,Neue Aargauer Bank,,Bernstr. 189,4852,Rothrist,* 062 785 88 88
Bank Sparkasse:,Raiffeisenbank Risch-Rotkreuz,Raiffeisenbank Risch-Rotkreuz,,Luzernerstr. 2,6343,Rotkreuz,041 798 31 10
Bank Sparkasse:,UBS Switzerland AG,UBS Switzerland,,Luzernerstr. 5,6343,Rotkreuz,* 041 798 47 47
Bank Sparkasse:,Zuger Kantonalbank,Zuger Kantonalbank,,Dorfmatt 2,6343,Rotkreuz,041 709 11 11
Bank Sparkasse:,Aargauische Kantonalbank,Aargauische Kantonalbank,,Mutschellenstr. 27,8964,Rudolfstetten,* 056 648 24 24
Bank Sparkasse:,Raiffeisenbank Mutschellen-Reppischtal Genossenschaft,Raiffeisenbank Mutschellen-Reppischtal Genossenschaft,,Bellikerstr. 8,8964,Rudolfstetten,056 648 49 49
Bank Sparkasse:,Ersparniskasse Rüeggisberg Genossenschaft,Ersparniskasse Rüeggisberg Genossenschaft,,Dorfstr. 19,3088,Rüeggisberg,031 808 17 77
Bank Sparkasse:,Bezirks-Sparkasse Dielsdorf,Bezirks-Sparkasse Dielsdorf,,Glattalstr. 188,8153,Rümlang,* 044 817 99 00
Bank Sparkasse:,Zürcher Kantonalbank,Zürcher Kantonalbank,,Oberdorfstr. 17,8153,Rümlang,* 0844 84 38 23
Bank Sparkasse:,Hypothekarbank Lenzburg AG,Hypothekarbank Lenzburg,,Mitteldorf 2,5102,Rupperswil,062 889 28 00
Bank Sparkasse:,UBS Switzerland AG,UBS Switzerland,,Bahnhofstr. 47,8803,Rüschlikon,* 044 704 63 63
Bank Sparkasse:,Zürcher Kantonalbank,Zürcher Kantonalbank,,Dorfstr. 14,8332,Russikon,* 0844 84 38 23
Bank Sparkasse:,Luzerner Kantonalbank AG,Luzerner Kantonalbank,,Hellbühlerstr. 10,6017,Ruswil,* 0844 82 28 11
Bank Sparkasse:,Valiant Bank AG,Valiant Bank,,Hellbühlerstr. 2,6017,Ruswil,041 496 60 60
,Valiant Bank AG,Valiant Bank,,Hellbühlerstr. 2,6017,Ruswil,041 496 60 60
Bank Sparkasse:,Bank Linth LLB AG,Bank Linth LLB,,Dorfstr. 2,8630,Rüti ZH,* 0844 11 44 11
Bank Sparkasse:,Clientis Zürcher Regionalbank Genossenschaft,Clientis Zürcher Regionalbank Genossenschaft,,Ferrachstr. 8,8630,Rüti ZH,* 055 251 40 50
Bank Sparkasse:,CREDIT SUISSE,CREDIT SUISSE,,Bandwiesstr. 3,8630,Rüti ZH,* 055 646 21 21
Bank Sparkasse:,UBS Switzerland AG,UBS Switzerland,,Bahnhofstr. 5,8630,Rüti ZH,* 055 251 21 21
Bank Sparkasse:,Zürcher Kantonalbank,Zürcher Kantonalbank,,Bergstr. 1,8630,Rüti ZH,* 0844 84 38 23
,Bank Linth LLB AG,Bank Linth LLB,,Dorfstr. 2,8630,Rüti ZH,* 055 251 23 66
Bank Sparkasse:,SB Saanen Bank AG,SB Saanen Bank,,Bahnhofstr. 2,3792,Saanen,033 748 46 46
,SB Saanen Bank AG,SB Saanen Bank,,Bahnhofstr. 2,3792,Saanen,033 748 46 46
Bank Sparkasse:,Raiffeisenbank Mischabel-Matterhorn Genossenschaft,Raiffeisenbank Mischabel-Matterhorn Genossenschaft,,Obere Dorfstr. 65,3906,Saas-Fee,* 027 955 19 00
Bank Sparkasse:,UBS Switzerland AG,UBS Switzerland,,,3906,Saas-Fee,* 027 958 99 11
Bank Sparkasse:,Walliser Kantonalbank,Walliser Kantonalbank,,,3906,Saas-Fee,* 0848 95 29 52
Bank Sparkasse:,Raiffeisenbank Mischabel-Matterhorn Genossenschaft,Raiffeisenbank Mischabel-Matterhorn Genossenschaft,,Dorfpl.,3910,Saas-Grund,* 027 955 19 00
Bank Sparkasse:,Walliser Kantonalbank,Walliser Kantonalbank,,,3910,Saas-Grund,* 0848 95 29 52
Bank Sparkasse:,Obwaldner Kantonalbank (OKB),Obwaldner Kantonalbank (OKB),,Dorfstr. 2,6072,Sachseln,* 041 666 22 11
Bank Sparkasse:,Raiffeisenbank Region Zofingen Genossenschaft,Raiffeisenbank Region Zofingen Genossenschaft,,Bahnhofstr. 11,5745,Safenwil,062 747 07 00
Bank Sparkasse:,Banca Popolare di Sondrio (Suisse) SA,Banca Popolare di Sondrio (Suisse) SA,,Plazzet 21,7503,Samedan,* 058 855 45 50
Bank Sparkasse:,Raiffeisen Engiadina Val Müstair Genossenschaft,Raiffeisen Engiadina Val Müstair Genossenschaft,,San Bastiaun 19,7503,Samedan,* 081 836 31 31
Bank Sparkasse:,Bank Gantrisch Genossenschaft,Bank Gantrisch Genossenschaft,,,1738,Sangernboden,* 026 419 11 58
,Bank Gantrisch Genossenschaft,Bank Gantrisch Genossenschaft,,,1738,Sangernboden,* 026 419 11 58
Bank Sparkasse:,Bank Linth LLB AG,Bank Linth LLB,,Bahnhofpark 2a,7320,Sargans,* 0844 11 44 11
Bank Sparkasse:,Raiffeisenbank Sarganserland,Raiffeisenbank Sarganserland,,Bahnhofstr. 7,7320,Sargans,081 725 38 38
Bank Sparkasse:,St.Galler Kantonalbank AG,St.Galler Kantonalbank,,Zürcherstr. 1,7320,Sargans,081 723 11 43
Bank Sparkasse:,UBS Switzerland AG,UBS Switzerland,,Grossfeldstr. 19,7320,Sargans,* 081 725 47 00
,Bank Linth LLB AG,Bank Linth LLB,,Bahnhofpark 2A,7320,Sargans,* 081 354 19 00
Bank Sparkasse:,CREDIT SUISSE AG,CREDIT SUISSE,,Lindenstr. 6,6060,Sarnen,* 041 662 41 78
Bank Sparkasse:,Obwaldner Kantonalbank (OKB),Obwaldner Kantonalbank (OKB),,Rütistr. 8,6060,Sarnen,* 041 666 22 11
Bank Sparkasse:,UBS Switzerland AG,UBS Switzerland,,Bahnhofpl. 1,6060,Sarnen,* 041 666 72 72
Bank Sparkasse:,Raiffeisenbank,Raiffeisenbank,,Dorfstr. 18,6417,Sattel,* 041 754 45 00
Bank Sparkasse:,Schwyzer Kantonalbank,Schwyzer Kantonalbank,,Dorfstr. 10,6417,Sattel,* 058 800 20 20
Bank Sparkasse:,Raiffeisenbank Mittelbünden Genossenschaft,Raiffeisenbank Mittelbünden Genossenschaft,,,7460,Savognin,081 650 44 60
Bank Sparkasse:,Volksbank AG,Volksbank,,Feldkircher Strasse 2,9494,Schaan,00423 239 04 04
Autoleasing:,BANK-now AG Schaffhausen,BANK-now Schaffhausen,,Tanne 1,8200,Schaffhausen,058 900 63 60
Bank Sparkasse:,BANK-now AG Schaffhausen,BANK-now Schaffhausen,,Tanne 1,8200,Schaffhausen,058 900 63 60
Bank Sparkasse:,Clientis BS Bank Schaffhausen,Clientis BS Bank Schaffhausen,,Spitalstr. 5,8200,Schaffhausen,* 0844 84 08 50
Bank Sparkasse:,CREDIT SUISSE AG,CREDIT SUISSE,,Bahnhofstr. 22,8200,Schaffhausen,* 052 630 44 22
Bank Sparkasse:,Ersparniskasse Schaffhausen,Ersparniskasse Schaffhausen,,Münsterpl. 34,8200,Schaffhausen,052 632 15 15
Bank Sparkasse:,Migros Bank,Migros Bank,,Bahnhofstr. 8,8200,Schaffhausen,* 0848 84 54 00
Bank Sparkasse:,Notenstein La Roche Privatbank AG,Notenstein La Roche Privatbank,,Fronwagpl. 22,8200,Schaffhausen,* 052 630 18 18
Bank Sparkasse:,Raiffeisenbank Schaffhausen Genossenschaft,Raiffeisenbank Schaffhausen Genossenschaft,,Bahnhofstr. 30,8200,Schaffhausen,* 052 633 39 99
Bank Sparkasse:,Schaffhauser Kantonalbank,Schaffhauser Kantonalbank,,Vorstadt 53,8200,Schaffhausen,* 052 635 22 22
Bank Sparkasse:,UBS Switzerland AG,UBS Switzerland,,Schwertstr. 2,8200,Schaffhausen,* 052 633 77 77
,Bank Coop AG,Bank Coop,,Vordergasse 54,8200,Schaffhausen,* 052 632 32 32
Bankdienstleistung:,BANK-now AG Schaffhausen,BANK-now Schaffhausen,,Tanne 1,8200,Schaffhausen,058 900 63 60
,BANK-now AG Schaffhausen,BANK-now Schaffhausen,,Tanne 1,8200,Schaffhausen,058 900 63 60
,BS Bank Schaffhausen AG,BS Bank Schaffhausen,,Spitalstr. 5,8200,Schaffhausen,052 620 01 41
,Clientis BS Bank Schaffhausen,Clientis BS Bank Schaffhausen,,Spitalstr. 5,8200,Schaffhausen,* 0844 84 08 50
Finanzierungen:,BANK-now AG Schaffhausen,BANK-now Schaffhausen,,Tanne 1,8200,Schaffhausen,058 900 63 60
Kreditinstitute:,BANK-now AG Schaffhausen,BANK-now Schaffhausen,,Tanne 1,8200,Schaffhausen,058 900 63 60
Leasing:,BANK-now AG Schaffhausen,BANK-now Schaffhausen,,Tanne 1,8200,Schaffhausen,058 900 63 60
,Migros Bank,Migros Bank,,Bahnhofstr. 8,8200,Schaffhausen,* 0848 84 54 00
Privatkredit:,BANK-now AG Schaffhausen,BANK-now Schaffhausen,,Tanne 1,8200,Schaffhausen,058 900 63 60
Bank Sparkasse:,Raiffeisenbank Oberes Emmental,Raiffeisenbank Oberes Emmental,,Gärtli,6197,Schangnau,* 034 409 49 49
Bank Sparkasse:,St.Galler Kantonalbank AG,St.Galler Kantonalbank,,Ziegelbrückstr. 16,8718,Schänis,* 055 619 67 67
Bank Sparkasse:,Urner Kantonalbank,Urner Kantonalbank,,Dorfstr. 4,6467,Schattdorf,* 041 875 60 00
Bank Sparkasse:,Raiffeisenbank Prättigau-Davos Genossenschaft,Raiffeisenbank Prättigau-Davos Genossenschaft,,Dorfpl. 1,7220,Schiers,* 081 300 20 20
Bank Sparkasse:,Raiffeisenbank Höfe Genossenschaft,Raiffeisenbank Höfe Genossenschaft,,Dorfstr. 32,8834,Schindellegi,* 044 782 10 10
Bank Sparkasse:,Schwyzer Kantonalbank,Schwyzer Kantonalbank,,Pfäffikonerstr. 1,8834,Schindellegi,* 058 800 20 20
Bank Sparkasse:,Raiffeisenbank Aare-Reuss Genossenschaft,Raiffeisenbank Aare-Reuss Genossenschaft,,Oberdorfstr. 8,5107,Schinznach Dorf,* 056 463 51 00
Bank Sparkasse:,Raiffeisenbank Weinland Genossenschaft,Raiffeisenbank Weinland Genossenschaft,,Mettschlatterstr. 6,8252,Schlatt TG,* 052 304 30 00
Bank Sparkasse:,Clientis BS Bank Schaffhausen,Clientis BS Bank Schaffhausen,,Poststr. 38,8226,Schleitheim,* 0844 84 08 50
Bank Sparkasse:,Raiffeisenbank Schaffhausen Genossenschaft,Raiffeisenbank Schaffhausen Genossenschaft,,Schaffhauserstr. 3,8226,Schleitheim,* 052 633 39 99
,Clientis BS Bank Schaffhausen,Clientis BS Bank Schaffhausen,,Poststr. 38,8226,Schleitheim,* 0844 84 08 50
Bank Sparkasse:,Raiffeisenbank an der Limmat Genossenschaft,Raiffeisenbank an der Limmat Genossenschaft,,Zürcherstr. 18,8952,Schlieren,044 744 54 54
Bank Sparkasse:,UBS Switzerland AG,UBS Switzerland,,Bahnhofstr. 9,8952,Schlieren,* 044 733 41 11
Bank Sparkasse:,Zürcher Kantonalbank,Zürcher Kantonalbank,,Zürcherstr. 4,8952,Schlieren,* 0844 84 38 23
Bank Sparkasse:,Raiffeisenbank Reitnau-Rued Genossenschaft,Raiffeisenbank Reitnau-Rued Genossenschaft,,Turnhallenstr. 435,5044,Schlossrued,062 739 20 20
Bank Sparkasse:,Bank Linth LLB AG,Bank Linth LLB,,Bahnhofstr. 5,8716,Schmerikon,* 0844 11 44 11
Bank Sparkasse:,Raiffeisenbank am Ricken Genossenschaft,Raiffeisenbank am Ricken Genossenschaft,,Hauptstr. 41,8716,Schmerikon,* 055 286 25 30
,Bank Linth LLB AG,Bank Linth LLB,,Bahnhofstr. 5,8716,Schmerikon,* 055 286 11 81
Bank Sparkasse:,Clientis Sparkasse Sense,Clientis Sparkasse Sense,,F. X. Müllerstr. 17,3185,Schmitten FR,* 026 494 58 20
Bank Sparkasse:,Raiffeisenbank Sensetal Genossenschaft,Raiffeisenbank Sensetal Genossenschaft,,F. X. Müllerstr. 9,3185,Schmitten FR,* 026 919 12 12
Bank Sparkasse:,Raiffeisenbank Surbtal-Wehntal Genossenschaft,Raiffeisenbank Surbtal-Wehntal Genossenschaft,,Dorfstr. 22,5425,Schneisingen,* 056 266 57 00
